id,name,gender,age,height,times,occurrence
38,Charlize Theron,Female,29,177,"[['07:54:08', '7']]","[32, 1, 32]"
39,Ashley Benson,Female,20,161,"[['09:02:13', '1']]","[24, 1, 24]"
40,Taylor Schilling,Female,28,173,"[['15:56:27', '1']]","[27, 1, 27]"
41,Matthew Morrison,Male,30,183,"[['15:12:10', '1']]","[38, 1, 38]"
42,Kevin Bacon,Male,54,178,"[['04:37:19', '6']]","[31, 1, 31]"
43,Ginnifer Goodwin,Female,33,168,"[['18:52:11', '6']]","[21, 1, 21]"
44,Ryan Gosling,Male,30,184,"[['02:05:40', '4']]","[29, 1, 29]"
45,RuPaul,Male,48,193,"[['18:28:05', '7']]","[29, 1, 29]"
46,Anne Hathaway,Female,27,173,"[['14:39:38', '6']]","[41, 1, 41]"
47,Jon Hamm,Male,36,188,"[['03:26:58', '3']]","[28, 1, 28]"
48,Leighton Meester,Female,21,164,"[['01:46:58', '5']]","[34, 1, 34]"
49,Charlie Hunnam,Male,28,185,"[['20:57:05', '3']]","[37, 1, 37]"
50,Kristen Stewart,Female,22,165,"[['21:55:24', '1']]","[27, 1, 27]"
51,Damian Lewis,Male,40,185,"[['20:50:24', '4']]","[33, 1, 33]"
52,Jessica Capshaw,Female,28,165,"[['06:32:52', '1']]","[23, 1, 23]"
53,Cate Blanchett,Female,46,174,"[['14:47:51', '6']]","[33, 1, 33]"
54,Lea Michele,Female,22,159,"[['17:56:58', '3']]","[29, 1, 29]"
55,Joel Kinnaman,Male,31,189,"[['04:23:05', '6']]","[24, 1, 24]"
56,Angie Harmon,Female,37,177,"[['06:42:48', '4']]","[29, 1, 29]"
57,Kerry Washington,Female,35,163,"[['08:16:43', '3']]","[31, 1, 31]"
58,Joshua Jackson,Male,30,188,"[['17:04:40', '4']]","[26, 1, 26]"
59,Jeffrey Donovan,Male,39,183,"[['16:41:29', '7']]","[36, 1, 36]"
60,Channing Tatum,Male,32,185,"[['03:50:26', '5']]","[25, 1, 25]"
61,Mayim Bialik,Female,31,163,"[['17:40:12', '5']]","[19, 1, 19]"
62,Matthew McConaughey,Male,44,183,"[['01:24:15', '7']]","[26, 1, 26]"
63,Justin Chambers,Male,34,180,"[['21:11:06', '1']]","[25, 1, 25]"
64,Emily Deschanel,Female,28,175,"[['01:19:24', '6']]","[30, 1, 30]"
65,Noah Wyle,Male,40,185,"[['13:55:19', '7']]","[33, 1, 33]"
66,Mark Harmon,Male,51,183,"[['20:08:18', '6']]","[18, 1, 18]"
67,Lena Dunham,Female,26,160,"[['17:51:05', '3']]","[28, 1, 28]"
68,Laura Linney,Female,46,170,"[['02:28:59', '7']]","[37, 1, 37]"
69,Teri Hatcher,Female,39,168,"[['07:21:30', '6']]","[31, 1, 31]"
70,Kiefer Sutherland,Male,34,175,"[['18:39:59', '2']]","[35, 1, 35]"
71,Troian Bellisario,Female,24,170,"[['09:18:42', '2']]","[24, 1, 24]"
72,Alison Brie,Female,26,160,"[['00:55:37', '2']]","[32, 1, 32]"
73,Mark Wahlberg,Male,39,173,"[['17:23:15', '7']]","[26, 1, 26]"
74,Simon Baker,Male,38,178,"[['17:59:50', '3']]","[32, 1, 32]"
75,Robin Tunney,Female,36,162,"[['00:36:03', '3']]","[29, 1, 29]"
76,Paul Reiser,Male,35,178,"[['11:07:00', '1']]","[19, 1, 19]"
77,John Noble,Male,59,185,"[['11:33:43', '2']]","[34, 1, 34]"
78,America Ferrera,Female,22,155,"[['17:52:32', '5']]","[38, 1, 38]"
79,Matthew Rhys,Male,38,180,"[['08:55:07', '7']]","[35, 1, 35]"
80,Andrew Lincoln,Male,36,178,"[['19:16:44', '7']]","[21, 1, 21]"
81,Jensen Ackles,Male,27,186,"[['17:07:37', '7']]","[31, 1, 31]"
82,Brad Pitt,Male,43,180,"[['14:37:33', '3']]","[33, 1, 33]"
83,Jake Johnson,Male,33,178,"[['19:35:52', '2']]","[30, 1, 30]"
84,Jesse Tyler Ferguson,Male,33,178,"[['15:52:11', '1']]","[10, 1, 10]"
85,Ariana Grande,Female,20,153,"[['13:36:12', '4']]","[29, 1, 29]"
86,Will Smith,Male,21,188,"[['05:13:19', '1']]","[19, 1, 19]"
87,Roseanne Barr,Female,35,163,"[['23:15:31', '1']]","[14, 1, 14]"
88,John Slattery,Male,44,178,"[['18:42:18', '3']]","[14, 1, 14]"
89,Chris Colfer,Male,19,179,"[['01:55:05', '5']]","[34, 1, 34]"
90,Sarah Wayne Callies,Female,33,174,"[['17:15:05', '3']]","[20, 1, 20]"
91,Aaron Paul,Male,28,173,"[['10:26:56', '7']]","[28, 1, 28]"
92,Shane West,Male,32,182,"[['05:56:02', '4']]","[27, 1, 27]"
93,Kevin Costner,Male,59,185,"[['09:01:56', '6']]","[15, 1, 15]"
94,Jonny Lee Miller,Male,39,180,"[['04:02:15', '2']]","[36, 1, 36]"
95,Patrick Dempsey,Male,39,179,"[['03:35:57', '3']]","[30, 1, 30]"
96,Julie Bowen,Female,39,168,"[['20:04:12', '7']]","[26, 1, 26]"
97,Melissa Joan Hart,Female,34,157,"[['11:28:42', '1']]","[10, 1, 10]"
98,Anna Torv,Female,29,173,"[['16:40:59', '1']]","[32, 1, 32]"
99,Alyson Hannigan,Female,31,167,"[['18:02:49', '2']]","[17, 1, 17]"
100,David Schwimmer,Male,27,185,"[['07:20:41', '5']]","[22, 1, 22]"
101,Penn Badgley,Male,20,175,"[['15:41:34', '7']]","[24, 1, 24]"
102,Cobie Smulders,Female,23,173,"[['09:09:58', '7']]","[15, 1, 15]"
103,Joseph Gordon-Levitt,Male,31,176,"[['19:40:30', '3']]","[22, 1, 22]"
104,Lauren Cohan,Female,28,170,"[['09:51:40', '2']]","[29, 1, 29]"
105,Vera Farmiga,Female,39,165,"[['13:19:42', '6']]","[22, 1, 22]"
106,Jennette McCurdy,Female,21,157,"[['09:37:55', '1']]","[13, 1, 13]"
107,Cybill Shepherd,Female,35,173,"[['14:58:33', '7']]","[20, 1, 20]"
108,Misha Collins,Male,30,183,"[['00:00:29', '5']]","[30, 1, 30]"
109,Gillian Jacobs,Female,26,163,"[['18:17:11', '1']]","[26, 1, 26]"
110,Walton Goggins,Male,38,178,"[['09:57:49', '3']]","[33, 1, 33]"
111,Emily Blunt,Female,28,171,"[['14:28:50', '3']]","[36, 1, 36]"
112,Stephen Moyer,Male,38,178,"[['03:04:11', '1']]","[31, 1, 31]"
113,Lana Parrilla,Female,33,164,"[['00:36:37', '6']]","[40, 1, 40]"
114,Clark Gregg,Male,51,175,"[['19:30:27', '7']]","[25, 1, 25]"
115,Bruce Willis,Male,30,183,"[['23:38:39', '3']]","[27, 1, 27]"
116,Kat Dennings,Female,25,161,"[['00:50:04', '2']]","[30, 1, 30]"
117,Kunal Nayyar,Male,26,171,"[['08:50:52', '2']]","[23, 1, 23]"
118,Jim Parsons,Male,34,186,"[['18:32:10', '3']]","[40, 1, 40]"
119,Ming-Na Wen,Female,49,163,"[['20:51:13', '4']]","[46, 1, 46]"
120,Timothy Hutton,Male,47,183,"[['22:19:55', '3']]","[33, 1, 33]"
121,Damon Wayans Jr.,Male,28,185,"[['18:25:15', '3']]","[22, 1, 22]"
122,David Giuntoli,Male,31,180,"[['12:42:24', '7']]","[31, 1, 31]"
123,Emma Roberts,Female,20,157,"[['11:39:38', '5']]","[43, 1, 43]"
124,Eva Longoria,Female,29,157,"[['12:11:19', '2']]","[34, 1, 34]"
125,Liam Hemsworth,Male,23,191,"[['19:34:49', '4']]","[33, 1, 33]"
126,Lucy Liu,Female,43,160,"[['14:38:05', '4']]","[41, 1, 41]"
127,Julianna Margulies,Female,43,168,"[['08:21:51', '1']]","[33, 1, 33]"
128,David Duchovny,Male,46,184,"[['04:48:22', '7']]","[32, 1, 32]"
129,Jared Padalecki,Male,22,193,"[['14:47:20', '1']]","[33, 1, 33]"
130,Neil Patrick Harris,Male,32,183,"[['05:23:11', '6']]","[19, 1, 19]"
131,Emilia Clarke,Female,24,157,"[['17:31:39', '3']]","[35, 1, 35]"
132,Ian Somerhalder,Male,30,177,"[['15:08:24', '1']]","[25, 1, 25]"
133,Bryan Cranston,Male,52,179,"[['10:04:00', '4']]","[19, 1, 19]"
134,Megan Boone,Female,30,169,"[['13:28:21', '6']]","[34, 1, 34]"
135,Karen Gillan,Female,17,180,"[['18:39:07', '1']]","[23, 1, 23]"
136,Edie Falco,Female,45,165,"[['16:53:42', '1']]","[35, 1, 35]"
137,Ed O'Neill,Male,63,185,"[['23:46:17', '7']]","[10, 1, 10]"
138,Tatiana Maslany,Female,27,163,"[['14:44:22', '4']]","[35, 1, 35]"
139,Chris Hemsworth,Male,29,190,"[['18:24:59', '5']]","[31, 1, 31]"
140,Heidi Klum,Female,31,176,"[['16:12:08', '5']]","[32, 1, 32]"
141,Lisa Kudrow,Female,30,173,"[['06:07:42', '4']]","[16, 1, 16]"
142,Mary-Louise Parker,Female,40,173,"[['03:15:52', '7']]","[38, 1, 38]"
143,Jennifer Carpenter,Female,26,174,"[['13:09:50', '7']]","[36, 1, 36]"
144,Kevin McKidd,Male,31,183,"[['22:37:08', '1']]","[24, 1, 24]"
145,Zachary Levi,Male,26,191,"[['00:27:31', '2']]","[35, 1, 35]"
146,Jennifer Garner,Female,29,173,"[['13:30:45', '7']]","[32, 1, 32]"
147,Elisabeth Moss,Female,24,160,"[['04:52:30', '2']]","[34, 1, 34]"
148,Tom Mison,Male,30,185,"[['17:40:08', '2']]","[28, 1, 28]"
149,Joyce DeWitt,Female,28,161,"[['03:43:47', '3']]","[15, 1, 15]"
150,Shay Mitchell,Female,23,171,"[['08:12:23', '3']]","[33, 1, 33]"
151,Joelle Carter,Female,37,175,"[['23:47:08', '7']]","[33, 1, 33]"
152,Pauley Perrette,Female,34,177,"[['20:39:43', '4']]","[26, 1, 26]"
153,Piper Perabo,Female,33,166,"[['10:00:15', '6']]","[36, 1, 36]"
154,Michael C. Hall,Male,35,177,"[['20:52:37', '3']]","[37, 1, 37]"
155,Marcia Cross,Female,42,178,"[['23:07:08', '7']]","[32, 1, 32]"
156,Jessica Chastain,Female,37,163,"[['13:23:41', '1']]","[33, 1, 33]"
157,Josh Dallas,Male,32,185,"[['13:42:36', '2']]","[27, 1, 27]"
158,Alex O'Loughlin,Male,33,185,"[['06:49:49', '6']]","[30, 1, 30]"
159,Madeleine Stowe,Female,52,172,"[['04:18:47', '1']]","[40, 1, 40]"
160,January Jones,Female,29,168,"[['19:01:52', '4']]","[33, 1, 33]"
161,Kate Walsh,Female,39,178,"[['01:27:10', '2']]","[39, 1, 39]"
162,Tom Hiddleston,Male,32,188,"[['16:04:18', '6']]","[27, 1, 27]"
163,Jessica Pare,Female,26,175,"[['06:53:02', '7']]","[30, 1, 30]"
164,Christina Hendricks,Female,32,171,"[['01:53:06', '2']]","[31, 1, 31]"
165,Zooey Deschanel,Female,31,168,"[['16:17:39', '2']]","[19, 1, 19]"
166,Lucy Hale,Female,21,157,"[['14:27:36', '4']]","[27, 1, 27]"
167,Amy Poehler,Female,37,157,"[['16:52:36', '6']]","[31, 1, 31]"
168,Shailene Woodley,Female,22,173,"[['04:01:19', '3']]","[26, 1, 26]"
169,Jennifer Morrison,Female,32,166,"[['04:34:02', '4']]","[38, 1, 38]"
170,Stana Katic,Female,31,175,"[['06:34:14', '3']]","[26, 1, 26]"
171,Sasha Alexander,Female,37,170,"[['03:06:02', '7']]","[22, 1, 22]"
172,Max Greenfield,Male,30,178,"[['06:19:44', '6']]","[25, 1, 25]"
173,Jake Gyllenhaal,Male,29,180,"[['01:22:20', '4']]","[32, 1, 32]"
174,Emily VanCamp,Female,25,173,"[['04:55:24', '5']]","[31, 1, 31]"
175,Jeff Bridges,Male,60,185,"[['19:51:42', '6']]","[19, 1, 19]"
176,Paul Wesley,Male,26,180,"[['19:33:17', '2']]","[26, 1, 26]"
177,Mark Ruffalo,Male,46,173,"[['20:17:12', '4']]","[25, 1, 25]"
178,Julianne Moore,Female,53,160,"[['12:47:23', '2']]","[34, 1, 34]"
179,Eric Stonestreet,Male,37,185,"[['02:25:46', '6']]","[29, 1, 29]"
180,Nina Dobrev,Female,20,169,"[['14:58:09', '5']]","[23, 1, 23]"
181,Michael Weatherly,Male,34,188,"[['13:28:17', '5']]","[31, 1, 31]"
182,Colin O'Donoghue,Male,30,180,"[['11:03:15', '5']]","[27, 1, 27]"
183,Anna Paquin,Female,25,165,"[['23:56:50', '5']]","[34, 1, 34]"
184,James Franco,Male,35,180,"[['02:58:56', '3']]","[28, 1, 28]"
185,Sofia Vergara,Female,36,170,"[['13:23:53', '7']]","[21, 1, 21]"
186,Vincent Kartheiser,Male,28,180,"[['13:37:52', '4']]","[28, 1, 28]"
187,Christopher Gorham,Male,35,182,"[['21:50:22', '1']]","[27, 1, 27]"
188,Yvette Nicole Brown,Female,37,155,"[['00:50:19', '4']]","[31, 1, 31]"
189,Simon Helberg,Male,26,170,"[['12:35:01', '7']]","[22, 1, 22]"
190,Connie Britton,Female,45,173,"[['07:22:33', '2']]","[28, 1, 28]"
191,Sara Ramirez,Female,29,175,"[['20:09:24', '4']]","[32, 1, 32]"
192,Tom Welling,Male,24,190,"[['09:00:03', '7']]","[29, 1, 29]"
193,Jennifer Aniston,Female,25,164,"[['03:39:54', '3']]","[17, 1, 17]"
194,Blake Lively,Female,19,178,"[['02:59:34', '4']]","[31, 1, 31]"
195,Jon Cryer,Male,38,175,"[['02:52:50', '5']]","[27, 1, 27]"
196,Helen Hunt,Female,29,170,"[['10:26:53', '6']]","[19, 1, 19]"
197,Courteney Cox,Female,30,165,"[['00:20:30', '4']]","[15, 1, 15]"
198,Gary Coleman,Male,10,142,"[['00:32:46', '3']]","[14, 1, 14]"
199,Matthew Perry,Male,24,183,"[['22:58:03', '7']]","[23, 1, 23]"
200,John Ritter,Male,28,180,"[['04:09:22', '3']]","[22, 1, 22]"
