I,F,G,A,H,T
0,0,Male,42,183,316
37,37,Male,42,183,316
0,1,Female,31,178,303
38,38,Female,34,178,303
0,0,Female,29,166,18
39,39,Female,29,166,18
0,0,Male,48,175,31
40,40,Female,44,175,31
28,28,Female,35,170,2
6,6,Female,35,173,116
0,0,Male,54,173,30
41,41,Male,54,173,30
6,0,Female,36,183,286
0,0,Male,41,178,249
42,42,Male,41,178,249
0,0,Male,27,167,277
43,43,Male,27,167,277
0,23,Male,37,179,148
44,44,Male,38,179,148
0,0,Female,29,180,324
45,45,Female,30,180,324
2,10,Male,26,179,260
37,0,Male,44,176,152
13,0,Female,22,169,228
0,0,Female,29,173,269
46,46,Female,28,173,269
31,0,Female,31,168,262
42,42,Male,58,182,189
0,0,Male,50,177,102
47,0,Male,34,177,102
0,0,Female,19,164,195
48,48,Female,24,164,195
15,0,Male,47,164,271
38,0,Female,34,175,114
5,0,Male,30,182,268
0,0,Male,44,173,137
49,49,Male,45,173,137
38,0,Male,59,179,234
13,0,Male,24,166,292
0,0,Female,29,168,43
50,50,Female,29,168,43
0,0,Male,49,188,185
51,51,Male,50,188,185
13,0,Female,31,167,110
0,0,Female,32,161,13
52,52,Female,32,161,13
0,0,Female,44,173,269
53,53,Female,44,173,269
1,0,Male,33,157,295
0,0,Female,32,156,131
54,54,Male,41,156,131
22,0,Female,42,181,222
20,0,Female,40,167,32
7,0,Male,52,179,103
23,0,Male,35,182,28
0,0,Male,31,179,248
55,55,Male,31,179,248
40,0,Female,30,168,183
21,21,Female,27,178,205
13,13,Female,29,170,100
37,0,Female,55,178,39
0,0,Male,33,172,157
56,56,Female,29,172,157
3,3,Male,56,188,326
0,0,Female,23,160,112
57,57,Female,23,160,112
56,0,Female,34,169,82
16,0,Male,35,173,231
5,5,Male,33,181,148
12,0,Female,36,173,44
50,28,Female,25,168,107
30,0,Female,43,148,244
0,0,Male,41,176,178
58,58,Male,45,176,178
10,10,Male,28,184,250
22,0,Female,40,167,93
1,0,Male,40,154,331
0,0,Male,36,173,321
59,59,Male,36,173,321
59,0,Male,42,183,135
0,0,Male,43,189,199
60,60,Male,48,189,199
0,0,Female,55,158,227
61,61,Female,56,158,227
14,0,Male,46,173,282
38,0,Female,26,184,50
17,0,Female,28,161,14
7,0,Male,51,179,17
33,0,Male,51,182,216
46,46,Female,25,181,120
47,0,Male,52,185,270
35,0,Male,44,177,115
0,0,Male,52,189,290
62,62,Male,52,189,290
42,42,Male,53,181,236
26,0,Female,25,159,248
0,0,Male,38,188,42
63,63,Male,33,188,42
43,0,Female,35,166,35
0,0,Female,37,172,242
64,64,Female,37,172,242
9,0,Male,54,184,323
59,3,Male,47,182,157
57,0,Female,23,157,189
0,0,Male,40,171,315
65,65,Male,40,171,315
57,0,Female,19,164,25
24,0,Male,38,189,260
0,0,Male,64,183,280
66,66,Male,61,183,280
64,0,Female,30,168,302
22,22,Female,40,168,217
0,0,Female,25,166,131
67,67,Female,29,166,131
2,0,Male,27,181,127
40,0,Male,32,175,1
25,0,Female,26,170,26
4,0,Female,36,179,215
0,0,Male,55,177,292
68,68,Male,57,177,292
1,0,Female,30,175,9
18,18,Female,26,171,154
34,0,Male,36,180,316
0,0,Female,30,172,254
69,69,Female,29,172,254
0,0,Female,36,179,85
70,70,Male,51,179,85
62,0,Male,51,178,298
0,0,Female,43,176,66
71,71,Female,38,176,66
8,0,Male,32,184,250
27,0,Male,51,175,209
34,0,Female,37,191,14
14,0,Male,53,185,305
0,0,Female,28,161,49
72,72,Female,6,161,49
38,0,Female,24,173,59
50,50,Female,25,172,280
21,21,Female,30,193,269
26,0,Female,45,153,47
9,9,Male,39,190,225
0,0,Male,44,179,322
73,73,Male,43,179,322
0,0,Male,52,184,131
74,74,Male,54,184,131
48,0,Female,25,166,178
31,0,Female,42,157,128
0,0,Female,32,162,97
75,75,Female,32,162,97
0,0,Male,35,169,22
76,76,Male,32,169,22
0,0,Male,71,188,71
77,77,Male,71,188,71
0,0,Female,30,154,227
78,78,Female,31,154,227
37,0,Male,47,181,196
34,0,Female,26,178,316
36,36,Female,32,169,199
20,0,Female,35,166,52
0,0,Male,53,171,305
79,79,Male,55,171,305
26,0,Female,29,165,46
46,46,Female,30,173,205
73,0,Male,52,172,17
41,3,Male,50,190,46
61,61,Female,29,156,306
58,0,Female,21,196,39
10,10,Male,25,173,96
44,0,Male,36,181,260
58,0,Male,53,190,183
12,0,Female,28,170,70
55,55,Male,33,194,144
39,0,Female,31,166,163
8,0,Female,28,170,92
50,0,Female,22,173,233
0,0,Male,39,164,326
80,80,Male,38,164,326
35,0,Male,41,175,101
67,0,Female,25,161,324
79,10,Male,34,183,198
39,0,Female,24,157,76
30,30,Female,43,152,1
18,0,Male,37,174,185
0,0,Male,10,185,322
81,0,Male,35,185,322
76,0,Male,41,190,57
0,0,Male,45,182,125
82,82,Male,41,182,125
23,23,Male,32,187,331
30,30,Female,28,160,132
81,0,Male,33,186,285
59,0,Male,38,188,164
36,0,Female,33,173,188
0,0,Male,36,179,87
83,83,Male,33,179,87
45,45,Female,24,194,30
2,0,Male,36,168,262
19,0,Female,38,169,59
47,0,Male,24,190,66
54,0,Female,25,160,71
54,0,Female,21,154,159
0,0,Female,38,178,31
84,0,Female,38,178,31
27,0,Male,48,178,237
69,0,Female,22,176,198
21,21,Male,40,189,202
44,0,Male,33,181,295
48,0,Female,20,158,277
0,0,Female,27,161,171
85,85,Female,27,161,171
0,0,Male,26,189,10
86,86,Male,25,189,10
23,0,Female,43,181,73
10,0,Male,25,192,184
53,0,Female,27,175,127
0,0,Female,34,168,46
87,87,Female,34,168,46
0,0,Male,47,189,133
88,88,Male,45,189,133
0,0,Male,26,180,195
89,89,Male,27,180,195
22,22,Female,39,172,319
4,0,Male,62,178,126
43,0,Female,27,169,122
17,17,Female,24,173,325
18,18,Female,30,167,56
7,0,Male,43,184,106
41,0,Male,42,175,88
70,0,Male,50,171,221
68,0,Female,37,173,304
60,60,Male,40,167,202
0,0,Female,23,170,130
90,90,Female,23,170,130
4,0,Male,54,181,321
57,57,Female,32,152,103
51,0,Male,47,196,158
47,0,Male,41,186,58
25,0,Female,36,167,157
35,0,Male,41,176,242
36,0,Female,21,168,196
89,89,Male,28,167,141
32,0,Female,42,166,170
42,42,Male,54,171,168
59,0,Male,48,175,166
5,0,Male,27,172,158
34,0,Male,45,181,116
0,0,Male,30,175,308
91,91,Male,32,175,308
38,0,Female,31,177,170
91,0,Male,32,175,207
82,0,Male,40,181,190
24,0,Male,43,191,237
21,21,Female,25,183,172
48,0,Female,18,173,281
67,0,Female,32,159,10
29,0,Female,50,190,33
34,0,Female,34,174,113
64,64,Female,34,177,179
13,13,Female,23,182,284
0,0,Male,49,182,155
92,92,Male,44,182,155
49,0,Male,19,187,208
64,0,Female,45,168,285
0,0,Male,61,186,258
93,93,Male,49,186,258
77,0,Male,69,193,317
2,0,Male,20,183,233
92,0,Male,36,185,255
34,34,Male,29,181,6
60,0,Male,50,190,264
17,0,Female,24,173,172
81,0,Male,32,181,314
46,46,Female,21,182,37
72,0,Female,28,159,305
46,46,Female,22,163,118
41,0,Male,52,176,64
0,0,Male,47,169,56
94,94,Male,47,169,56
36,0,Female,36,160,176
79,0,Male,52,181,150
85,0,Female,20,164,284
45,45,Female,22,200,223
91,0,Male,20,178,114
18,0,Female,38,170,164
21,21,Female,26,190,54
62,0,Male,19,193,109
81,81,Male,40,179,96
20,20,Female,39,162,259
60,0,Male,38,194,138
0,0,Male,38,179,103
95,95,Male,38,179,103
8,0,Female,11,160,99
7,0,Male,54,179,145
51,0,Male,35,184,13
42,42,Male,55,173,225
66,0,Male,60,172,258
88,88,Male,57,175,204
58,0,Male,27,179,252
31,0,Female,28,176,111
75,0,Female,22,162,48
59,0,Male,60,174,79
32,0,Female,24,168,119
68,0,Female,49,173,13
35,0,Male,33,197,231
0,0,Female,30,160,328
96,96,Female,30,160,328
35,0,Male,36,175,211
23,23,Male,31,170,217
65,0,Male,47,183,125
82,82,Male,40,177,100
16,0,Male,37,187,12
54,0,Female,29,166,247
48,0,Female,26,163,19
0,0,Male,31,163,22
97,97,Male,36,163,22
72,0,Female,38,149,146
23,0,Male,32,173,174
10,10,Male,32,191,54
78,0,Female,24,150,15
61,0,Male,50,167,224
74,0,Male,54,174,171
86,0,Male,33,185,281
21,21,Male,29,191,333
19,0,Female,43,170,278
44,0,Male,42,195,204
4,0,Male,46,177,78
92,0,Male,37,190,141
65,65,Male,41,186,286
2,0,Male,35,167,92
71,0,Female,24,167,207
9,0,Male,36,187,111
29,0,Male,24,169,332
52,0,Female,35,178,161
3,3,Male,51,194,78
63,0,Male,30,176,41
64,0,Female,30,174,16
36,36,Female,24,170,123
27,27,Male,45,180,243
21,21,Female,25,194,244
95,95,Male,38,180,106
39,39,Male,25,168,55
39,39,Female,29,164,192
95,0,Male,9,183,190
64,64,Female,36,175,31
73,0,Male,44,175,39
78,0,Female,50,154,259
29,0,Male,35,193,103
53,0,Female,26,174,187
70,70,Male,46,175,128
96,0,Male,22,166,224
30,0,Female,31,163,334
5,0,Male,47,184,67
8,0,Female,25,183,217
33,0,Male,56,187,100
30,30,Female,46,147,55
37,65,Male,45,177,138
46,46,Female,29,170,118
20,0,Male,18,170,74
41,82,Male,29,194,100
28,0,Female,28,160,0
54,0,Male,22,164,1
26,26,Female,24,156,242
19,0,Female,54,165,184
71,0,Female,29,183,191
83,0,Male,48,180,283
40,0,Male,26,173,32
68,0,Female,39,172,212
78,0,Female,27,153,84
91,0,Female,70,169,190
42,0,Male,27,173,252
10,10,Male,25,188,14
28,28,Female,28,160,74
41,0,Female,42,191,180
49,0,Male,39,184,87
81,0,Male,39,190,154
78,0,Female,29,149,315
77,0,Male,66,192,66
89,89,Male,31,172,253
51,0,Male,38,181,281
44,0,Male,40,182,172
49,0,Male,38,176,22
30,0,Female,49,148,14
41,41,Male,50,181,187
28,28,Female,22,164,162
55,55,Male,30,180,7
65,65,Male,33,178,270
82,82,Male,49,197,58
58,0,Male,36,182,305
70,70,Male,49,178,170
90,0,Female,25,175,295
25,25,Female,38,173,43
22,22,Female,43,164,244
78,0,Female,25,151,168
78,0,Female,50,173,6
26,26,Female,25,167,83
28,0,Female,23,171,132
67,0,Female,29,159,116
95,95,Male,40,169,294
35,0,Male,13,183,151
86,0,Male,31,182,74
90,0,Female,32,174,31
76,0,Female,35,175,205
17,0,Male,28,163,269
20,20,Female,40,162,165
82,82,Male,45,167,293
21,21,Female,38,193,236
79,0,Male,35,184,244
19,0,Male,53,158,110
32,0,Female,37,162,4
24,0,Male,45,182,193
25,25,Female,32,159,251
48,48,Female,23,163,57
35,0,Female,46,179,208
36,0,Male,27,171,197
93,0,Male,66,185,270
1,0,Female,31,155,60
48,0,Female,26,166,19
83,0,Male,35,188,315
0,0,Female,28,189,33
98,98,Female,28,189,33
73,73,Male,50,183,40
45,45,Female,40,193,267
28,28,Female,36,164,72
92,92,Male,34,177,225
75,0,Female,22,169,7
75,0,Female,29,159,165
38,0,Male,36,179,233
79,0,Male,41,182,113
30,30,Female,40,154,71
18,0,Female,24,168,92
78,78,Female,22,160,154
13,13,Male,19,177,220
57,0,Male,10,163,163
75,0,Female,45,159,279
37,37,Male,30,173,211
75,75,Female,28,168,236
48,0,Female,21,152,237
18,0,Female,32,169,235
85,85,Female,23,160,226
53,53,Female,34,170,54
85,0,Female,24,157,142
23,0,Male,47,180,49
47,0,Male,44,188,319
3,0,Female,22,182,136
37,0,Male,72,180,34
82,82,Male,46,178,251
58,58,Male,33,198,159
85,0,Female,9,151,47
95,44,Male,34,174,201
69,0,Female,33,164,2
14,0,Male,13,175,144
44,95,Male,42,179,89
33,0,Male,31,194,11
81,81,Male,37,179,139
92,0,Female,6,189,232
9,0,Male,39,179,175
81,81,Male,32,195,94
68,0,Female,48,173,51
68,0,Male,42,174,310
88,0,Male,41,184,210
53,53,Female,36,169,278
89,0,Male,33,179,116
16,0,Male,38,188,215
58,0,Male,40,182,209
41,0,Female,46,177,333
50,50,Female,28,169,320
72,0,Female,35,148,156
28,0,Female,56,164,234
30,30,Female,44,148,169
44,44,Male,32,186,137
9,0,Male,35,196,110
56,0,Female,33,180,261
41,0,Male,44,174,149
80,0,Male,58,170,2
83,0,Male,37,179,94
95,95,Male,35,181,308
33,0,Male,41,180,308
25,0,Male,39,171,69
53,0,Female,41,181,154
88,88,Male,70,175,283
51,0,Male,43,187,102
11,0,Male,63,174,270
53,53,Female,41,174,105
26,0,Female,24,153,306
77,0,Male,69,188,75
52,0,Female,28,158,289
25,25,Female,30,190,272
33,0,Male,31,181,165
12,0,Female,35,169,252
68,0,Male,34,171,333
66,66,Male,46,182,332
76,0,Male,48,174,166
68,0,Female,31,171,28
36,0,Female,27,169,149
66,0,Male,45,175,273
10,0,Female,26,173,129
25,25,Female,40,160,19
34,34,Male,32,195,308
6,0,Female,49,182,300
59,0,Male,40,188,282
45,45,Female,23,190,246
8,8,Female,27,173,314
12,0,Female,38,171,53
29,0,Male,32,191,134
80,0,Male,37,186,267
24,0,Male,34,194,46
98,0,Female,36,174,165
63,0,Male,58,190,191
2,0,Female,39,174,134
1,0,Female,29,156,224
82,82,Male,44,175,33
8,8,Female,19,175,155
10,0,Male,30,181,302
85,85,Female,15,159,6
2,0,Male,27,181,237
48,0,Female,25,170,159
64,0,Female,44,167,47
30,30,Female,36,174,48
23,0,Male,32,178,300
77,77,Male,66,175,217
70,0,Male,52,168,106
21,21,Female,19,199,134
95,0,Male,45,188,310
47,47,Male,43,175,234
31,0,Female,25,165,282
41,41,Male,42,194,17
7,7,Female,38,183,198
48,0,Female,30,162,188
78,78,Female,44,163,81
41,0,Male,19,178,131
78,0,Male,19,159,118
1,0,Female,19,157,295
62,0,Male,56,182,254
51,0,Female,44,180,5
16,0,Male,11,172,266
51,0,Male,57,177,278
69,0,Female,29,168,20
58,0,Male,60,192,335
45,0,Female,27,189,90
46,46,Female,20,176,121
21,21,Female,41,182,163
34,34,Male,39,182,10
42,0,Female,43,181,270
76,0,Male,48,180,291
9,9,Male,38,191,201
91,0,Male,39,184,99
82,0,Male,54,190,57
11,0,Male,31,172,135
83,0,Male,36,175,235
79,0,Male,62,175,225
6,6,Female,35,181,220
2,2,Male,24,167,316
36,0,Female,26,168,121
26,26,Female,31,162,300
5,5,Male,31,176,92
85,0,Male,35,162,233
77,77,Male,63,183,111
22,22,Female,37,173,136
91,91,Male,40,174,13
9,9,Male,50,182,196
74,0,Male,49,176,73
0,0,Female,34,170,84
99,99,Female,35,170,84
86,0,Male,24,178,95
92,0,Male,36,180,286
68,0,Female,37,162,126
83,0,Female,19,166,188
55,0,Male,40,190,147
73,0,Male,14,168,262
75,0,Female,28,155,156
48,0,Female,21,165,241
26,0,Female,26,161,94
78,78,Male,25,159,56
45,45,Female,25,198,56
71,0,Female,32,167,115
79,0,Male,35,181,186
94,0,Male,36,174,77
17,0,Male,34,167,86
72,0,Female,35,157,264
70,0,Male,57,181,109
27,0,Female,50,182,174
65,65,Male,48,177,236
99,0,Female,43,171,276
39,39,Female,27,167,202
34,34,Male,41,187,77
47,0,Female,49,181,179
91,0,Male,43,169,282
46,0,Female,25,170,265
65,0,Female,49,194,219
89,89,Male,29,173,305
73,0,Male,35,172,16
27,27,Female,55,176,59
46,0,Male,25,185,192
52,0,Female,27,161,292
22,22,Female,31,163,42
1,0,Female,22,170,320
77,0,Male,55,187,76
22,22,Female,31,170,7
4,0,Male,32,181,80
69,0,Female,26,160,114
89,89,Male,31,174,312
6,0,Female,56,184,281
93,0,Male,51,190,191
50,0,Female,25,164,166
26,0,Female,30,152,112
44,95,Male,41,182,120
90,0,Female,27,178,142
64,64,Female,39,172,45
91,91,Male,30,172,175
40,0,Female,39,179,170
61,0,Female,41,166,152
74,0,Male,52,182,313
14,0,Male,43,170,109
64,64,Female,27,174,306
54,0,Female,29,168,236
86,0,Male,27,182,4
13,13,Female,27,164,140
94,0,Male,41,194,262
56,0,Female,28,174,142
19,0,Male,47,165,318
94,0,Male,32,175,170
16,0,Male,38,189,192
15,0,Male,51,170,226
74,74,Male,52,171,74
25,25,Female,29,166,24
56,0,Male,33,183,176
75,0,Female,14,164,19
28,28,Female,24,168,81
23,0,Male,33,182,150
58,0,Male,31,177,21
79,0,Male,37,176,116
55,0,Male,37,181,310
38,0,Female,34,185,20
49,0,Male,34,187,179
62,0,Male,27,181,47
17,0,Male,22,186,277
60,60,Male,39,184,17
89,89,Male,29,178,32
61,61,Female,41,173,171
58,0,Male,26,185,80
83,0,Male,43,171,37
39,39,Female,26,157,314
43,0,Female,31,168,70
52,0,Female,28,171,284
68,0,Male,59,165,46
17,17,Female,20,165,233
25,0,Female,49,167,207
5,5,Male,27,183,41
45,45,Female,37,187,37
98,0,Female,47,179,325
24,0,Male,37,197,319
13,13,Female,24,169,325
47,47,Male,34,188,183
43,0,Male,51,169,302
23,0,Female,30,193,57
84,0,Male,54,176,30
22,0,Male,28,172,9
27,0,Male,52,172,81
41,0,Female,37,184,243
96,0,Female,37,172,124
58,0,Male,45,187,4
95,95,Male,41,176,33
34,34,Male,27,178,206
75,0,Female,25,152,238
45,45,Female,29,208,158
67,0,Female,23,157,41
80,0,Male,36,172,93
46,46,Female,30,167,111
44,0,Male,9,185,183
57,0,Female,36,169,177
68,0,Female,40,166,316
80,0,Male,54,177,231
91,0,Female,17,174,68
74,0,Male,49,172,76
34,0,Male,47,190,88
38,0,Female,39,177,275
58,0,Male,43,184,61
40,0,Female,29,177,153
28,28,Female,41,167,311
31,0,Female,41,157,187
25,0,Female,41,166,119
41,0,Female,41,193,112
28,0,Female,38,163,192
86,0,Male,18,192,249
19,0,Male,53,163,31
59,0,Male,41,177,205
63,0,Male,37,180,66
46,46,Female,29,179,169
35,0,Male,25,183,44
76,0,Male,61,185,183
63,0,Male,59,173,179
57,0,Male,46,166,335
49,0,Male,25,188,25
39,0,Female,28,152,183
20,0,Female,39,154,34
40,0,Male,42,162,296
87,0,Female,26,158,148
24,0,Female,30,195,247
5,0,Male,58,186,201
23,23,Male,31,175,175
72,72,Female,29,153,323
64,64,Female,34,171,204
16,16,Male,38,188,250
28,0,Female,33,161,283
25,0,Female,40,166,308
67,0,Female,30,158,54
59,0,Male,50,184,223
36,36,Female,30,168,300
35,0,Male,43,180,210
17,0,Male,23,164,34
63,0,Male,46,176,137
17,0,Female,24,172,13
69,0,Female,32,169,64
86,0,Male,27,193,199
53,53,Female,36,164,306
73,0,Male,54,169,317
99,0,Female,35,160,27
24,0,Female,36,187,248
13,0,Female,26,164,199
21,21,Female,27,179,116
94,0,Male,45,175,113
8,8,Female,28,165,190
62,0,Male,41,185,224
42,0,Male,66,182,84
46,46,Female,19,165,334
3,0,Male,49,191,188
81,0,Male,30,188,306
51,0,Male,57,189,15
59,0,Male,30,180,111
47,0,Male,58,174,120
34,0,Male,19,177,171
83,0,Male,34,184,79
4,0,Male,20,186,203
52,0,Female,33,167,42
30,0,Male,33,150,203
36,36,Female,26,164,177
18,0,Female,38,149,13
36,0,Female,32,179,153
2,2,Male,24,173,335
92,92,Male,34,188,59
6,0,Male,37,175,43
79,0,Male,52,181,2
30,0,Female,42,162,89
76,0,Male,54,172,301
78,0,Female,29,153,56
63,0,Male,32,187,308
2,2,Male,25,176,0
58,58,Male,41,185,86
57,0,Female,35,171,311
23,23,Male,31,191,243
47,47,Male,50,204,130
55,55,Male,24,193,240
57,0,Female,19,155,274
52,0,Female,39,160,74
52,0,Female,36,164,210
98,0,Male,50,171,290
74,74,Male,44,187,132
94,0,Male,44,173,216
7,7,Male,60,175,18
41,0,Male,50,181,79
42,42,Male,53,179,240
78,78,Female,28,165,108
8,0,Female,28,167,193
95,0,Female,49,175,206
41,0,Male,42,191,203
55,0,Male,37,190,326
4,0,Male,56,180,159
57,0,Female,20,167,104
60,60,Male,40,186,161
1,0,Female,33,163,325
74,0,Male,41,172,303
85,85,Female,23,146,124
67,0,Female,27,161,290
6,6,Female,39,183,221
50,50,Female,28,164,249
13,13,Female,26,172,158
5,0,Male,33,183,294
36,0,Female,24,185,318
21,21,Female,19,197,249
65,3,Male,38,188,75
39,0,Female,29,171,323
94,0,Male,36,173,53
53,0,Female,37,183,21
76,0,Male,41,169,138
40,0,Male,35,170,23
71,0,Female,34,164,24
3,3,Male,46,191,220
3,3,Male,41,186,292
11,0,Female,20,164,21
76,0,Male,45,189,227
65,65,Male,43,185,55
26,26,Female,23,154,111
75,75,Female,40,162,91
4,0,Male,35,183,79
50,50,Female,29,163,290
35,0,Male,39,186,42
64,0,Male,34,168,292
36,0,Female,31,168,20
10,0,Male,47,190,231
26,26,Female,17,157,191
90,0,Female,27,172,109
34,0,Male,34,182,250
14,0,Male,45,177,99
65,65,Male,40,188,21
63,0,Male,30,177,304
66,0,Male,59,179,64
99,0,Female,29,167,254
44,44,Male,37,194,181
9,0,Male,56,191,125
84,0,Male,47,181,149
19,0,Male,41,158,87
40,0,Female,24,163,167
65,65,Male,41,182,114
53,53,Female,30,176,112
48,0,Female,32,158,140
98,0,Female,53,176,62
40,0,Male,28,187,179
99,0,Female,22,170,273
73,0,Male,38,175,127
84,0,Female,34,174,211
26,26,Female,29,166,219
65,65,Male,42,186,135
74,0,Male,54,176,232
71,0,Female,28,175,208
69,0,Female,26,168,214
78,0,Female,25,145,44
89,89,Male,32,172,125
96,0,Female,31,167,210
96,0,Female,32,166,26
34,0,Female,58,186,76
77,0,Male,55,189,154
0,0,Male,48,193,206
100,100,Female,45,193,206
91,0,Male,34,165,315
56,0,Male,48,177,266
69,0,Female,30,175,280
59,0,Female,62,183,177
13,0,Female,27,178,183
87,0,Female,29,154,152
5,0,Male,41,183,99
39,0,Female,29,158,255
82,82,Male,47,164,237
36,0,Female,21,168,335
45,45,Female,28,191,189
1,0,Male,21,159,176
56,0,Female,21,169,102
19,0,Male,30,160,178
24,0,Male,38,205,291
46,46,Female,22,179,76
6,0,Female,26,189,273
28,0,Female,30,155,19
21,21,Male,37,186,176
42,0,Male,57,168,304
44,44,Male,37,188,53
94,0,Male,47,187,7
62,0,Male,36,188,155
100,0,Male,38,181,27
67,0,Female,21,159,265
22,22,Female,50,172,125
71,0,Female,33,161,297
62,0,Male,59,186,95
96,0,Male,13,162,272
49,0,Male,65,182,11
78,0,Male,47,159,292
25,0,Male,30,178,302
13,0,Female,26,170,31
72,0,Female,30,171,291
18,0,Female,33,170,324
90,0,Female,43,173,26
89,89,Male,30,188,274
6,0,Female,36,178,51
38,0,Female,25,180,178
92,92,Male,34,177,236
92,92,Male,38,187,290
67,0,Female,34,151,23
23,0,Male,34,179,209
39,39,Female,27,171,125
17,0,Female,28,159,333
37,0,Male,37,178,14
23,0,Male,36,182,112
14,0,Male,68,190,30
13,13,Female,20,173,105
94,0,Male,40,183,24
6,6,Female,37,173,310
1,0,Female,32,156,1
60,60,Male,35,190,188
63,0,Female,41,177,37
19,0,Female,45,163,297
80,80,Male,39,173,64
32,0,Female,37,161,303
81,0,Male,32,198,204
17,17,Male,28,180,326
85,85,Female,31,155,323
55,0,Male,58,184,138
79,0,Male,63,177,190
4,0,Male,31,185,57
12,0,Female,37,160,280
14,0,Male,43,175,136
97,0,Female,48,162,19
21,21,Female,28,191,106
60,0,Male,40,175,120
41,0,Male,38,184,280
3,0,Male,22,190,88
14,0,Male,44,182,195
31,0,Female,33,167,310
24,24,Male,34,195,146
82,82,Male,41,176,217
68,68,Female,35,164,21
25,0,Female,33,169,101
38,0,Female,31,175,127
24,24,Male,38,183,13
18,0,Female,26,156,258
5,5,Female,34,184,208
8,8,Female,22,180,55
33,0,Male,30,185,314
62,0,Female,49,194,198
67,67,Female,26,160,214
16,0,Male,43,180,261
32,0,Male,55,173,201
53,53,Female,40,178,112
64,64,Female,33,172,38
38,0,Female,33,169,167
68,0,Female,41,167,118
19,0,Female,55,166,83
6,0,Male,33,184,160
36,36,Female,21,177,76
18,0,Male,54,160,298
43,0,Female,25,165,213
9,0,Male,63,180,148
78,78,Female,29,154,132
23,0,Female,41,181,287
96,0,Female,32,171,70
57,0,Female,28,174,134
45,45,Female,30,194,145
50,50,Female,29,161,100
9,0,Male,57,178,303
58,0,Male,38,197,84
4,0,Male,38,189,291
51,0,Male,29,191,186
80,80,Male,60,178,138
80,0,Male,38,177,257
91,0,Female,33,184,267
55,0,Male,47,209,45
42,0,Male,43,166,123
56,0,Female,37,177,132
30,30,Female,35,147,225
82,82,Male,50,185,240
1,0,Female,25,157,25
73,0,Male,52,179,231
36,0,Female,39,168,94
20,20,Female,48,163,68
18,0,Female,27,169,69
39,0,Female,21,162,77
87,0,Female,41,154,187
88,0,Female,58,167,76
5,0,Male,44,180,165
30,0,Female,60,155,139
12,0,Male,53,158,260
15,0,Male,59,174,161
71,0,Female,38,177,290
1,0,Male,21,166,294
46,0,Female,25,163,9
44,0,Male,40,182,92
31,0,Female,33,155,155
46,46,Female,23,161,177
93,0,Male,47,185,293
65,0,Male,39,186,62
95,95,Male,32,174,35
39,0,Female,23,166,138
81,0,Female,47,186,38
62,62,Male,39,182,12
32,0,Female,29,165,250
31,0,Female,18,156,304
98,0,Female,28,185,45
91,0,Male,37,174,151
48,48,Female,23,157,32
40,0,Female,25,171,33
37,37,Male,50,175,88
75,0,Female,38,160,191
38,0,Female,29,185,330
74,0,Male,35,186,40
70,0,Male,38,178,214
51,0,Female,38,185,142
80,80,Male,41,170,255
40,0,Female,36,171,128
86,86,Male,23,196,320
1,0,Female,31,155,137
93,0,Male,48,182,298
36,0,Male,21,174,52
5,0,Female,55,182,298
42,0,Male,65,185,127
51,0,Female,44,190,274
96,0,Female,40,167,245
26,0,Female,28,162,329
83,0,Male,30,174,18
41,0,Male,36,188,79
38,0,Female,29,183,273
88,88,Male,49,175,334
53,0,Female,50,181,45
