I,F,H,G,A,T
67,67,128,Female,26,82
41,41,118,Male,30,159
192,192,147,Male,24,122
105,105,111,Female,39,330
183,183,112,Female,25,190
97,97,119,Female,34,316
155,155,150,Female,42,103
134,134,116,Male,30,146
168,168,136,Female,22,197
108,108,134,Male,30,294
132,132,124,Male,30,333
109,109,93,Female,26,132
83,83,121,Male,33,1
168,168,151,Female,22,197
124,124,118,Female,29,91
10,10,141,Female,26,125
198,89,83,Male,10,301
21,21,92,Male,16,209
98,98,116,Male,29,63
7,26,128,Male,41,244
61,61,142,Male,31,265
147,147,119,Female,24,219
188,188,145,Female,37,118
116,116,116,Male,25,133
136,136,110,Male,45,253
120,120,147,Female,47,159
148,148,133,Male,30,95
62,6,139,Male,44,299
195,195,131,Male,38,259
58,12,143,Female,30,270
163,163,116,Male,26,116
72,72,108,Female,26,293
29,29,138,Male,30,152
111,111,144,Female,28,286
15,12,148,Female,56,46
132,29,141,Male,30,332
122,122,117,Male,31,28
82,82,145,Male,43,247
7,7,108,Male,41,250
94,94,131,Male,39,159
178,178,90,Male,53,221
26,26,120,Female,29,89
181,181,147,Female,34,206
127,127,106,Male,43,86
81,81,129,Male,27,275
172,172,137,Female,30,258
38,38,139,Female,29,44
16,16,107,Male,38,210
195,195,83,Female,38,253
25,25,130,Male,36,229
190,190,148,Female,45,102
90,90,124,Female,33,100
107,107,136,Male,35,329
87,87,127,Female,35,212
175,175,135,Male,60,318
124,124,124,Female,29,87
100,100,147,Female,27,45
182,182,142,Male,30,65
5,5,117,Female,27,73
36,36,131,Female,35,11
171,171,135,Female,37,28
116,116,121,Female,25,137
196,196,118,Female,29,291
147,147,106,Male,24,229
71,71,120,Female,24,279
145,145,154,Male,26,25
184,184,116,Male,35,281
166,166,82,Female,21,235
115,115,141,Male,30,181
40,40,141,Female,28,180
169,117,129,Male,32,68
194,194,144,Female,19,59
126,126,86,Male,43,169
159,159,133,Female,52,123
1,1,102,Female,34,83
144,144,120,Male,31,151
5,5,103,Male,27,79
86,86,173,Male,21,197
146,146,131,Female,29,81
25,25,113,Female,36,230
6,6,134,Female,48,187
84,84,130,Male,33,101
124,124,122,Female,29,99
53,53,145,Female,46,101
105,105,102,Female,39,333
50,50,117,Male,22,45
150,150,103,Female,23,242
98,98,137,Female,29,68
97,97,93,Female,34,308
107,1,129,Female,35,329
187,187,150,Male,35,211
11,11,104,Female,24,183
24,24,124,Male,37,102
159,159,114,Female,52,121
82,82,115,Male,43,250
163,163,134,Female,26,129
113,113,101,Female,33,151
174,174,132,Female,25,150
109,109,122,Male,26,120
165,165,135,Female,31,148
13,13,112,Male,20,294
115,35,128,Male,30,178
179,179,114,Male,37,258
83,83,86,Male,33,3
119,119,134,Female,49,40
131,131,131,Female,24,285
118,118,143,Male,34,237
113,113,103,Female,33,152
12,12,118,Male,35,158
0,0,164,Female,3,305
47,47,141,Female,36,26
123,123,71,Male,20,292
31,65,96,Female,33,198
53,53,107,Female,46,97
65,65,135,Male,40,202
136,118,110,Male,45,255
23,8,131,Female,31,301
69,69,103,Male,39,221
108,108,149,Male,30,295
18,18,115,Female,21,234
123,123,94,Female,20,306
129,129,156,Male,22,263
23,26,94,Male,31,310
196,196,125,Female,29,294
141,141,136,Female,30,201
129,168,130,Male,22,270
144,140,113,Male,31,148
33,33,124,Female,36,181
3,3,120,Male,42,40
109,109,107,Male,26,123
19,19,119,Female,45,249
96,68,113,Female,39,150
187,187,122,Male,35,211
47,47,104,Male,36,23
154,154,112,Male,35,10
15,15,116,Male,56,46
87,71,103,Male,35,216
82,82,137,Male,43,244
76,76,141,Male,35,33
26,26,99,Female,29,85
198,198,85,Male,10,298
165,165,123,Male,31,153
149,149,126,Female,28,276
18,18,118,Female,21,236
141,141,132,Female,30,204
33,33,127,Male,36,183
40,40,165,Male,28,188
172,172,137,Male,30,253
151,151,131,Male,37,235
32,32,87,Female,41,270
185,185,119,Female,36,62
182,182,154,Male,30,73
32,32,127,Female,41,271
68,68,111,Male,46,301
114,114,126,Male,51,301
27,27,105,Male,53,309
120,20,147,Female,47,160
60,60,138,Male,32,223
174,174,127,Male,25,151
188,188,90,Female,37,112
48,48,101,Female,21,244
45,45,156,Male,48,289
47,9,123,Male,36,23
195,195,112,Female,38,256
129,129,142,Female,22,268
2,2,138,Female,20,118
161,161,135,Female,39,80
168,164,135,Female,22,194
83,83,75,Male,33,4
100,100,139,Female,27,53
153,31,102,Male,33,82
18,18,142,Female,21,232
171,171,96,Female,37,30
167,167,108,Female,37,223
90,90,100,Female,33,97
78,78,125,Female,22,293
6,6,161,Female,48,187
185,185,102,Female,36,58
165,165,113,Female,31,153
161,161,133,Female,39,77
136,136,108,Female,45,253
1,35,109,Female,34,84
79,79,139,Male,38,291
156,156,117,Male,37,320
9,9,165,Male,45,99
113,113,90,Female,33,153
24,24,143,Male,37,108
89,89,105,Male,19,162
146,146,144,Female,29,81
134,134,108,Female,30,148
35,35,149,Male,42,74
167,167,121,Female,37,215
13,13,124,Male,20,295
133,133,125,Male,52,216
51,51,141,Male,40,260
23,23,117,Male,31,299
23,23,144,Male,31,301
87,87,102,Female,35,212
48,48,126,Female,21,240
100,100,133,Male,27,49
118,118,151,Male,34,238
166,166,129,Female,21,237
167,167,103,Male,37,221
19,19,130,Female,45,248
148,148,148,Female,30,93
163,163,121,Female,26,110
70,70,89,Female,34,206
116,116,87,Male,25,143
89,89,129,Female,19,166
17,17,125,Female,23,90
10,10,167,Female,26,126
148,148,107,Male,30,90
50,50,122,Female,22,39
65,65,127,Male,40,207
62,62,121,Male,44,301
93,93,141,Male,59,142
192,192,118,Male,24,124
69,69,109,Male,39,228
39,39,100,Male,20,163
138,138,126,Male,27,2
61,9,86,Male,31,264
142,142,125,Female,40,4
111,111,93,Female,28,276
44,80,132,Female,30,239
5,5,175,Male,27,75
89,89,115,Male,19,167
37,37,122,Male,47,26
87,87,75,Female,35,219
136,136,90,Male,45,251
199,199,136,Male,24,179
138,138,121,Female,27,4
176,176,105,Female,26,107
68,68,149,Female,46,303
146,70,130,Female,29,80
67,67,149,Male,26,81
129,129,121,Male,22,270
170,170,117,Female,31,140
50,50,94,Male,22,39
168,34,100,Male,22,195
17,6,117,Female,23,98
8,8,110,Female,23,119
153,153,142,Female,33,83
148,148,148,Male,30,94
86,86,144,Female,21,198
106,106,102,Female,21,202
139,139,143,Female,29,84
51,51,142,Female,40,263
98,22,121,Male,29,67
74,52,135,Male,38,261
13,13,90,Female,20,296
110,110,128,Male,38,41
132,132,121,Male,30,331
150,150,124,Male,23,235
119,119,126,Female,49,45
134,134,112,Female,30,146
74,1,137,Male,38,265
57,57,119,Female,35,184
97,97,107,Female,34,311
113,113,87,Female,33,148
91,91,92,Female,28,273
99,99,130,Female,31,89
193,193,137,Male,25,21
196,196,147,Male,29,295
104,104,114,Female,28,157
66,66,155,Male,51,217
180,180,109,Female,20,24
7,7,118,Male,41,244
183,183,146,Female,25,184
43,43,114,Female,33,217
10,10,145,Male,26,121
90,90,119,Male,33,99
130,130,142,Male,32,213
67,67,104,Male,26,79
138,138,102,Male,27,3
180,180,110,Female,20,22
77,77,144,Male,59,59
149,149,99,Female,28,270
200,200,111,Male,28,234
166,166,103,Female,21,233
26,26,108,Female,29,84
35,35,126,Male,42,76
21,21,133,Male,16,210
93,93,111,Female,59,137
46,46,113,Male,27,159
44,44,105,Male,30,239
47,47,155,Male,36,18
4,4,113,Male,31,127
120,120,140,Male,47,155
102,102,119,Female,23,251
100,100,156,Male,27,49
143,143,120,Male,26,305
22,22,111,Female,33,107
163,163,137,Female,26,115
157,157,152,Male,32,86
59,59,148,Female,39,284
4,1,123,Female,31,121
73,73,154,Male,39,197
108,108,125,Female,30,292
33,33,156,Male,36,186
30,30,97,Female,35,287
86,86,136,Male,21,192
130,130,136,Male,32,213
82,82,141,Male,43,241
101,101,131,Male,20,129
87,87,123,Female,35,218
166,166,137,Female,21,236
181,181,125,Male,34,207
127,64,107,Female,43,85
93,93,145,Male,59,143
17,17,95,Female,23,98
104,104,104,Male,28,154
120,120,150,Male,47,160
184,184,125,Male,35,276
10,10,149,Female,26,127
110,110,164,Male,38,40
92,92,147,Female,32,76
19,19,102,Male,45,251
86,86,148,Male,21,196
186,186,133,Male,28,26
106,106,89,Female,21,204
129,129,157,Male,22,267
114,114,106,Female,51,301
23,23,162,Female,31,305
38,38,133,Female,29,40
119,119,124,Female,49,46
103,11,123,Female,31,58
172,172,135,Female,30,261
70,0,123,Female,34,210
142,142,118,Female,40,10
54,54,103,Female,22,256
0,0,162,Female,59,196
95,95,117,Male,39,207
186,186,118,Female,28,22
61,33,124,Female,31,265
189,175,118,Male,26,153
42,42,142,Male,54,321
106,62,100,Female,21,201
194,194,107,Female,19,54
141,141,135,Male,30,202
134,134,94,Female,30,150
83,83,147,Male,33,6
187,187,159,Male,35,212
111,111,149,Male,28,276
126,126,117,Male,43,179
146,146,138,Male,29,84
44,44,140,Male,30,246
75,75,123,Male,36,274
38,38,145,Male,29,42
117,141,107,Female,26,100
160,160,111,Female,29,306
195,89,115,Female,38,256
100,100,131,Female,27,49
115,115,125,Female,30,185
139,135,152,Male,29,82
172,172,128,Male,30,258
133,133,134,Female,52,216
150,150,131,Female,23,243
41,90,140,Female,30,168
33,33,143,Male,36,189
152,152,132,Female,34,249
157,157,144,Male,32,86
138,138,128,Male,27,1
157,157,124,Male,32,92
31,31,124,Male,33,205
85,85,104,Male,20,33
74,74,141,Male,38,258
149,149,135,Female,28,274
49,19,171,Male,28,115
82,82,111,Male,43,242
113,113,111,Male,33,153
155,155,138,Male,42,101
2,2,135,Female,20,117
85,85,85,Female,20,34
84,84,127,Female,33,109
15,15,127,Male,56,48
137,137,139,Male,63,110
110,110,113,Male,38,43
166,27,89,Female,21,240
101,101,90,Female,20,125
145,145,116,Male,26,21
65,65,149,Male,40,200
33,33,129,Male,36,190
137,137,115,Female,63,120
158,44,134,Male,33,44
96,96,140,Female,39,149
170,170,143,Female,31,133
136,136,125,Male,45,248
179,179,145,Male,37,252
31,31,139,Female,33,211
23,23,126,Male,31,305
51,51,136,Male,40,269
99,99,104,Male,31,87
48,48,129,Female,21,247
60,60,142,Female,32,226
198,198,84,Male,10,297
164,164,152,Female,32,60
58,58,138,Male,30,261
20,0,114,Male,37,115
133,133,150,Male,52,211
142,142,111,Female,40,7
118,118,137,Male,34,233
105,105,122,Female,39,332
109,109,122,Male,26,118
113,113,114,Female,33,149
103,103,140,Male,31,59
102,102,135,Female,23,242
16,13,142,Male,38,213
123,123,103,Female,20,295
73,73,86,Female,39,194
24,24,129,Male,37,105
188,188,105,Female,37,116
186,186,158,Male,28,24
37,37,141,Female,47,28
198,189,96,Male,10,299
175,175,124,Female,60,313
93,93,170,Male,59,144
173,173,128,Female,29,146
45,45,151,Female,48,282
61,61,114,Female,31,261
89,89,130,Male,19,164
39,39,92,Female,20,165
78,78,102,Female,22,287
132,132,133,Female,30,334
101,101,165,Female,20,115
173,173,130,Male,29,146
91,91,91,Male,28,264
28,28,119,Female,17,90
158,158,152,Male,33,46
74,74,124,Female,38,260
20,20,134,Female,37,105
66,66,132,Male,51,227
105,105,101,Female,39,333
40,40,140,Male,28,181
96,78,97,Female,39,150
45,45,155,Male,48,287
136,136,116,Female,45,255
48,48,140,Male,21,237
35,35,135,Male,42,77
111,111,106,Male,28,277
114,114,139,Male,51,293
43,43,91,Female,33,218
100,100,148,Male,27,50
18,18,130,Female,21,232
30,30,110,Female,35,283
162,162,132,Male,32,144
165,165,114,Male,31,150
15,15,117,Male,56,50
151,151,108,Female,37,244
58,53,164,Female,30,262
86,86,124,Male,21,192
150,150,118,Male,23,241
71,62,122,Male,24,285
78,78,112,Female,22,284
180,180,125,Female,20,18
124,124,119,Male,29,90
111,111,108,Female,28,277
46,46,131,Female,27,155
34,34,119,Male,22,193
119,119,120,Female,49,45
66,66,135,Male,51,226
197,197,105,Female,30,55
75,75,99,Male,36,269
100,100,139,Male,27,52
93,93,122,Female,59,140
174,174,107,Female,25,155
31,19,97,Female,33,208
89,89,137,Female,19,164
40,40,129,Male,28,187
23,108,140,Male,31,304
169,169,132,Female,32,69
21,21,121,Male,16,209
73,73,131,Male,39,202
104,104,105,Male,28,148
123,123,126,Female,20,294
80,80,124,Female,36,123
116,116,93,Female,25,134
161,161,107,Male,39,85
136,136,116,Female,45,252
125,125,147,Female,23,154
21,21,125,Female,16,212
29,29,147,Female,30,163
195,195,109,Female,38,258
41,41,153,Male,30,163
139,139,141,Male,29,82
136,136,147,Female,45,249
101,101,140,Female,20,124
73,133,136,Female,39,199
97,97,110,Female,34,320
128,60,151,Male,46,125
162,162,105,Male,32,144
36,36,154,Female,35,8
16,16,146,Male,38,208
109,109,110,Female,26,126
168,168,163,Female,22,199
1,1,119,Male,34,85
21,21,146,Male,16,220
111,111,135,Female,28,280
166,166,99,Male,21,240
115,115,125,Male,30,176
42,42,126,Female,54,324
188,188,86,Female,37,110
82,82,122,Male,43,249
120,120,146,Male,47,159
171,171,126,Female,37,31
130,130,159,Male,32,210
50,50,110,Female,22,40
83,83,121,Male,33,7
18,18,131,Male,21,232
47,47,159,Female,36,15
31,31,129,Male,33,209
1,1,127,Male,34,86
49,49,152,Female,28,125
156,156,120,Female,37,317
15,15,116,Female,56,45
129,129,141,Male,22,271
69,69,114,Female,39,224
197,197,129,Female,30,45
114,114,128,Male,51,298
137,48,137,Male,63,116
23,5,118,Male,31,303
38,38,137,Male,29,36
84,84,113,Male,33,109
199,199,142,Female,24,179
133,133,142,Female,52,210
97,111,83,Female,34,309
163,163,129,Female,26,118
148,148,117,Male,30,83
21,21,96,Male,16,206
172,172,126,Female,30,252
126,126,131,Female,43,173
121,121,128,Male,28,210
62,62,110,Male,44,295
157,157,121,Male,32,87
102,102,142,Male,23,239
178,178,118,Female,53,226
55,12,137,Male,31,229
180,79,113,Female,20,20
177,177,133,Female,46,17
147,147,137,Female,24,217
117,117,115,Male,26,110
29,29,131,Female,30,154
151,151,134,Male,37,241
74,74,119,Male,38,260
18,18,115,Female,21,237
67,67,108,Female,26,81
83,83,147,Male,33,7
156,156,112,Female,37,318
191,191,118,Male,29,250
46,46,126,Female,27,153
179,179,127,Male,37,251
153,153,115,Female,33,78
15,15,130,Male,56,46
137,137,154,Male,63,118
128,128,130,Male,46,129
29,29,148,Female,30,162
167,167,129,Male,37,225
176,176,131,Female,26,115
49,49,119,Male,28,121
185,185,133,Female,36,56
62,62,110,Male,44,298
60,60,134,Male,32,229
135,135,132,Female,17,312
85,85,99,Female,20,33
60,60,110,Male,32,220
66,66,153,Male,51,221
52,52,93,Female,28,138
82,82,140,Male,43,246
64,64,146,Female,28,1
96,96,115,Male,39,144
0,0,115,Male,52,101
89,89,136,Male,19,164
112,164,124,Female,38,259
123,168,117,Female,20,298
199,150,106,Female,24,177
118,118,134,Female,34,231
197,197,122,Female,30,48
87,87,128,Male,35,210
92,63,103,Male,32,78
142,48,143,Female,40,6
42,42,123,Male,54,326
154,154,114,Male,35,9
196,196,118,Male,29,290
1,1,100,Male,34,87
77,77,148,Male,59,65
8,8,126,Female,23,115
65,65,133,Male,40,192
111,111,97,Male,28,280
56,56,111,Male,37,210
58,58,125,Male,30,263
49,49,130,Male,28,123
9,5,146,Male,45,95
111,111,104,Female,28,281
131,131,104,Female,24,276
127,144,97,Male,43,87
101,101,155,Male,20,126
6,6,154,Female,48,185
61,61,104,Female,31,258
144,55,164,Male,31,143
37,80,127,Male,47,25
140,140,141,Male,31,220
117,117,116,Male,26,106
89,89,128,Male,19,165
70,70,103,Male,34,206
186,186,139,Male,28,27
188,188,116,Female,37,108
45,45,142,Male,48,288
141,141,130,Female,30,199
83,83,115,Female,33,1
60,60,141,Male,32,224
106,106,134,Female,21,205
173,173,143,Male,29,149
148,148,107,Male,30,89
120,120,135,Female,47,166
172,172,139,Male,30,256
98,98,125,Male,29,69
28,17,99,Female,17,94
139,139,141,Male,29,83
120,120,109,Male,47,158
21,21,108,Male,16,210
48,48,132,Female,21,245
2,2,109,Male,20,122
1,1,116,Female,34,91
105,105,117,Female,39,332
172,172,150,Male,30,257
23,23,136,Female,31,300
181,181,139,Male,34,201
166,166,134,Female,21,240
164,139,134,Female,32,58
30,18,97,Male,35,288
196,196,92,Male,29,289
119,74,118,Female,49,43
164,164,113,Male,32,56
51,51,133,Male,40,259
105,105,127,Female,39,330
10,10,122,Male,26,120
106,106,108,Male,21,198
128,128,158,Male,46,125
69,69,113,Male,39,227
2,2,124,Male,20,123
60,49,147,Male,32,225
27,27,119,Female,53,303
194,194,135,Male,19,53
77,77,142,Male,59,62
64,64,138,Male,28,1
136,136,108,Female,45,254
102,102,105,Female,23,246
158,136,92,Female,33,49
3,3,129,Female,42,46
88,88,127,Female,44,135
143,143,112,Female,26,306
68,68,124,Male,46,302
143,143,103,Female,26,304
147,147,88,Male,24,227
100,100,150,Male,27,47
37,37,114,Male,47,28
69,69,147,Female,39,221
38,38,115,Male,29,40
58,58,148,Male,30,264
184,184,144,Male,35,276
33,33,168,Male,36,184
196,196,120,Female,29,289
51,51,104,Male,40,262
136,136,97,Male,45,256
100,100,129,Female,27,51
31,31,123,Female,33,203
48,48,114,Female,21,246
26,26,117,Female,29,84
157,157,135,Female,32,87
62,62,119,Male,44,298
114,114,118,Female,51,298
196,196,95,Female,29,289
125,125,148,Male,23,148
175,175,131,Male,60,314
44,44,103,Female,30,246
5,5,146,Male,27,72
64,64,140,Male,28,2
84,84,159,Female,33,109
199,199,110,Male,24,177
7,7,147,Male,41,246
113,131,135,Female,33,148
63,63,110,Male,34,203
49,49,122,Male,28,120
54,54,137,Female,22,261
35,35,115,Female,42,76
141,141,118,Male,30,200
18,18,110,Female,21,233
175,175,140,Male,60,318
182,182,144,Female,30,67
56,56,126,Female,37,206
91,91,137,Male,28,274
1,14,96,Male,34,88
72,72,92,Male,26,288
19,19,150,Female,45,252
74,74,130,Female,38,259
127,127,129,Female,43,83
163,163,127,Female,26,117
189,10,121,Male,26,152
64,64,128,Female,28,3
125,125,160,Female,23,144
192,192,144,Male,24,118
72,72,119,Male,26,282
16,22,118,Male,38,213
125,125,161,Male,23,149
46,33,137,Male,27,157
188,188,121,Female,37,115
164,164,143,Female,32,50
111,111,99,Female,28,279
8,8,119,Female,23,113
188,188,133,Female,37,112
27,27,88,Male,53,303
95,24,119,Male,39,211
158,158,145,Male,33,46
137,137,146,Male,63,105
53,53,135,Male,46,89
121,121,140,Male,28,203
138,138,85,Female,27,0
95,95,131,Male,39,205
85,85,91,Female,20,30
82,82,163,Female,43,243
39,39,94,Female,20,159
156,156,75,Female,37,318
102,102,98,Male,23,242
18,18,132,Female,21,226
154,154,137,Male,35,0
36,36,165,Male,35,11
7,7,136,Male,41,235
71,71,130,Female,24,284
109,109,109,Male,26,127
104,104,135,Female,28,141
182,182,95,Male,30,70
71,14,116,Female,24,282
139,139,121,Female,29,78
34,49,133,Male,22,195
143,143,123,Female,26,309
108,108,140,Female,30,294
65,65,149,Female,40,202
178,178,137,Female,53,222
152,15,113,Male,34,241
39,39,132,Female,20,167
137,137,126,Female,63,116
160,160,110,Female,29,304
199,199,126,Male,24,186
196,196,119,Female,29,283
149,133,89,Female,28,271
35,55,128,Male,42,80
126,67,99,Female,43,174
19,19,109,Female,45,252
187,187,118,Male,35,215
162,162,150,Male,32,145
106,106,108,Female,21,202
157,157,126,Male,32,90
172,172,148,Male,30,259
31,31,106,Male,33,201
145,34,98,Male,26,24
125,125,120,Male,23,152
143,133,134,Female,26,303
155,155,113,Male,42,106
161,161,129,Female,39,77
28,28,126,Female,17,92
123,123,123,Male,20,300
63,63,135,Male,34,199
24,24,164,Female,37,97
120,120,108,Female,47,152
32,32,137,Male,41,266
138,138,93,Female,27,1
156,156,113,Female,37,318
146,146,117,Female,29,77
45,45,148,Male,48,289
178,178,122,Female,53,219
58,58,121,Male,30,267
104,104,116,Female,28,146
107,107,141,Female,35,328
35,35,122,Male,42,76
156,156,142,Female,37,321
74,74,135,Female,38,262
186,186,129,Female,28,20
0,0,142,Female,22,324
137,137,180,Male,63,110
142,142,127,Female,40,4
115,115,108,Male,30,180
31,31,113,Female,33,204
66,66,138,Female,51,233
58,58,146,Male,30,262
101,101,127,Male,20,124
145,145,122,Male,26,25
191,191,142,Female,29,256
88,88,144,Male,44,131
195,195,139,Male,38,258
67,20,103,Female,26,75
31,31,86,Male,33,207
151,151,123,Female,37,231
89,89,148,Male,19,165
190,190,125,Male,45,97
187,187,139,Female,35,216
85,85,107,Female,20,36
9,9,132,Male,45,97
104,30,135,Female,28,144
163,163,144,Male,26,123
181,181,132,Male,34,203
136,136,105,Female,45,258
116,116,137,Female,25,141
15,15,149,Female,56,50
30,30,114,Female,35,282
35,35,137,Male,42,77
17,17,132,Female,23,96
2,2,131,Female,20,119
104,169,123,Female,28,147
68,68,135,Female,46,305
167,167,119,Female,37,230
10,4,122,Male,26,121
146,89,136,Female,29,82
127,127,114,Male,43,89
14,14,121,Male,41,302
9,9,157,Male,45,95
117,29,128,Female,26,108
40,34,124,Male,28,188
198,198,111,Male,10,297
172,187,110,Male,30,254
96,96,121,Male,39,147
200,200,129,Female,27,240
75,75,110,Male,36,274
68,68,125,Female,46,304
93,93,143,Male,59,139
164,164,93,Female,32,55
25,25,99,Female,36,226
196,196,129,Female,29,294
123,123,114,Female,20,304
47,47,156,Female,36,24
132,132,143,Male,30,327
149,149,69,Female,28,271
33,33,142,Male,36,188
166,166,114,Male,21,236
44,44,122,Male,30,244
109,109,100,Male,26,120
108,108,131,Male,30,296
53,3,111,Female,46,95
82,82,113,Male,43,245
71,71,122,Female,24,281
46,46,126,Female,27,159
94,94,96,Female,39,162
27,27,155,Female,53,307
151,151,141,Female,37,238
182,182,133,Female,30,67
29,15,108,Male,30,153
4,4,143,Male,31,123
4,4,154,Male,31,133
182,182,112,Male,30,66
187,187,152,Female,35,218
98,98,119,Female,29,71
62,62,128,Male,44,295
182,182,139,Male,30,68
135,135,158,Female,17,317
161,161,118,Female,39,78
147,147,111,Male,24,222
8,8,114,Male,23,114
4,4,114,Male,31,124
148,148,131,Male,30,91
8,8,127,Female,23,112
36,36,136,Female,35,14
139,19,167,Female,29,81
19,19,93,Female,45,244
90,30,120,Female,33,103
141,141,130,Female,30,203
177,177,123,Male,46,24
100,100,139,Male,27,47
37,37,149,Male,47,26
152,152,128,Female,34,240
117,90,124,Male,26,104
127,127,125,Female,43,89
12,12,97,Male,35,158
116,116,122,Female,25,138
42,42,145,Male,54,324
159,159,139,Female,52,120
137,137,139,Male,63,116
31,31,106,Female,33,206
32,32,97,Female,41,269
156,156,124,Male,37,318
174,174,126,Female,25,156
186,186,141,Female,28,24
119,119,117,Female,49,41
4,4,127,Female,31,125
37,37,131,Male,47,23
161,161,137,Female,39,76
20,20,81,Female,37,109
174,174,138,Female,25,160
0,0,132,Male,12,265
108,43,162,Female,30,298
143,143,136,Female,26,307
46,36,122,Male,27,153
154,154,133,Male,35,2
196,196,111,Female,29,291
1,1,131,Male,34,83
0,151,67,Male,4,246
199,199,148,Female,24,176
141,181,129,Male,30,201
34,34,138,Male,22,202
51,51,133,Female,40,267
49,49,129,Male,28,122
106,106,108,Male,21,201
35,35,114,Male,42,79
161,161,123,Female,39,82
155,155,132,Female,42,107
5,5,136,Male,27,81
78,78,103,Female,22,291
113,113,132,Female,33,150
166,166,98,Female,21,236
112,112,103,Male,38,261
175,175,148,Female,60,317
95,95,133,Female,39,211
79,79,112,Male,38,293
30,30,119,Male,35,280
166,166,122,Female,21,235
81,81,109,Male,27,281
59,56,153,Male,39,289
13,7,120,Female,20,294
135,135,133,Female,17,322
79,79,137,Female,38,295
19,19,113,Male,45,254
184,184,128,Female,35,270
113,113,149,Male,33,154
26,26,117,Male,29,83
98,98,132,Male,29,69
123,123,98,Female,20,297
126,126,130,Male,43,174
113,113,132,Female,33,151
22,22,89,Female,33,111
150,150,126,Female,23,236
171,171,137,Female,37,28
32,24,99,Male,41,266
32,32,139,Female,41,266
69,69,165,Male,39,232
134,134,141,Male,30,142
57,57,117,Male,35,186
44,44,149,Male,30,245
99,99,112,Female,31,92
