I,F,G,A,H,T
13,0,Male,24,166,205
0,0,Female,29,168,37
50,50,Female,29,168,37
0,0,Male,49,188,264
51,51,Male,50,188,264
13,0,Female,31,167,200
0,0,Female,32,161,139
52,52,Female,32,161,139
0,0,Female,44,173,96
53,53,Female,44,173,96
1,0,Male,33,157,70
0,0,Female,32,156,260
54,54,Male,41,156,260
22,0,Female,42,181,224
20,0,Female,40,167,72
7,0,Male,52,179,244
23,0,Male,35,182,308
0,0,Male,31,179,228
55,55,Male,31,179,228
40,0,Female,30,168,185
21,21,Female,27,178,213
13,13,Female,29,170,292
37,0,Female,55,178,230
0,0,Male,33,172,207
56,56,Female,29,172,207
3,0,Male,56,188,240
0,0,Female,23,160,183
57,57,Female,23,160,183
56,0,Female,34,169,209
16,0,Male,35,173,211
5,5,Male,33,181,76
12,0,Female,36,173,110
50,28,Female,25,168,283
30,0,Female,43,148,291
0,0,Male,41,176,263
58,58,Male,45,176,263
10,10,Male,28,184,120
22,0,Female,40,167,224
1,0,Male,40,154,92
0,0,Male,36,173,283
59,59,Male,36,173,283
59,0,Male,42,183,22
0,0,Male,43,189,226
60,60,Male,48,189,226
0,0,Female,55,158,264
61,61,Female,56,158,264
14,0,Male,46,173,304
38,0,Female,26,184,38
17,0,Female,28,161,94
7,0,Male,51,179,139
33,0,Male,51,182,185
46,46,Female,25,181,154
47,0,Male,52,185,84
35,0,Male,44,177,270
0,0,Male,52,189,297
62,62,Male,51,189,297
42,42,Male,53,181,214
26,0,Female,25,159,128
0,0,Male,38,188,203
63,63,Male,33,188,203
43,0,Female,35,166,9
0,0,Female,37,172,3
64,64,Female,37,172,3
9,0,Male,54,184,172
59,3,Male,47,182,282
57,0,Female,23,157,144
0,0,Male,40,171,204
65,65,Male,40,171,204
57,0,Female,19,164,145
24,0,Male,38,189,95
0,0,Male,64,183,225
66,66,Male,61,183,225
64,0,Female,30,168,3
22,22,Female,40,168,114
0,0,Female,25,166,80
67,67,Female,29,166,80
2,0,Male,27,181,118
40,0,Male,32,175,285
25,0,Female,26,170,269
4,0,Female,36,179,125
0,0,Male,55,177,302
68,68,Male,57,177,302
1,0,Female,30,175,259
18,18,Female,26,171,118
34,0,Male,36,180,196
0,0,Female,30,172,224
69,69,Female,29,172,224
0,0,Female,36,179,208
70,70,Male,51,179,208
62,0,Male,51,178,313
0,0,Female,43,176,284
71,71,Female,38,176,284
8,0,Male,32,184,115
27,0,Male,51,175,306
34,0,Female,37,191,145
14,0,Male,53,185,304
0,0,Female,28,161,286
72,72,Female,6,161,286
38,0,Female,24,173,292
50,50,Female,25,172,188
21,21,Female,30,193,211
26,0,Female,45,153,84
9,9,Male,39,190,99
0,0,Male,44,179,199
73,73,Male,43,179,199
0,0,Male,52,184,262
74,74,Male,54,184,262
48,0,Female,25,166,28
31,0,Female,42,157,307
0,0,Female,32,162,271
75,75,Female,32,162,271
0,0,Male,35,169,36
76,76,Male,32,169,36
0,0,Male,71,188,62
77,77,Male,71,188,62
0,0,Female,30,154,287
78,78,Female,31,154,287
37,0,Male,47,181,230
34,0,Female,26,178,222
36,36,Female,32,169,13
20,0,Female,35,166,71
0,0,Male,53,171,291
79,79,Male,55,171,291
26,0,Female,29,165,127
46,46,Female,30,173,306
73,0,Male,52,172,278
41,3,Male,50,190,163
61,61,Female,29,156,64
58,0,Female,21,196,255
10,10,Male,25,173,78
44,0,Male,36,181,59
58,0,Male,53,190,264
12,0,Female,28,170,161
55,55,Male,33,194,124
39,0,Female,31,166,146
8,0,Female,28,170,152
50,0,Female,22,173,188
0,0,Male,39,164,128
80,80,Male,38,164,128
35,0,Male,41,175,5
67,0,Female,25,161,83
79,10,Male,34,183,176
39,0,Female,24,157,145
30,30,Female,43,152,281
18,0,Male,37,174,238
0,0,Male,10,185,280
81,0,Male,35,185,280
76,0,Male,41,190,26
0,0,Male,45,182,243
82,82,Male,41,182,243
23,23,Male,32,187,241
30,30,Female,28,160,291
81,0,Male,33,186,198
59,0,Male,38,188,287
36,0,Female,33,173,142
0,0,Male,36,179,3
83,83,Male,33,179,3
45,45,Female,24,194,82
2,0,Male,36,168,119
19,0,Female,38,169,330
47,0,Male,24,190,333
54,0,Female,25,160,317
54,0,Female,21,154,261
0,0,Female,38,178,103
84,0,Male,51,178,103
27,0,Male,48,178,119
69,0,Female,22,176,224
21,21,Male,40,189,211
44,0,Male,33,181,57
48,0,Female,20,158,244
0,0,Female,27,161,35
85,85,Female,27,161,35
0,0,Male,26,189,195
86,86,Male,25,189,195
23,0,Female,43,181,318
10,0,Male,25,192,120
53,0,Female,27,175,175
0,0,Female,34,168,213
87,87,Female,34,168,213
0,0,Male,47,189,135
88,88,Male,45,189,135
0,0,Male,26,180,165
89,89,Male,27,180,165
22,0,Female,39,172,117
4,0,Male,62,178,127
43,0,Female,27,169,29
17,17,Female,24,173,9
18,18,Female,30,167,235
7,0,Male,43,184,140
41,0,Male,42,175,165
70,0,Male,50,171,206
68,0,Female,37,173,166
60,60,Male,40,167,226
0,0,Female,23,170,98
90,90,Female,23,170,98
4,0,Male,54,181,124
57,57,Female,32,152,118
51,0,Male,47,196,125
47,0,Male,41,186,87
25,0,Female,36,167,272
35,0,Male,41,176,273
36,0,Female,21,168,165
89,89,Male,28,167,230
32,0,Female,42,166,268
42,42,Male,54,171,80
59,0,Male,48,175,23
5,0,Male,27,172,74
34,0,Male,45,181,144
0,0,Male,30,175,268
91,91,Male,32,175,268
38,0,Female,31,177,227
91,0,Male,32,175,268
82,0,Male,40,181,170
24,0,Male,43,191,203
21,21,Female,25,183,211
48,0,Female,18,173,334
67,0,Female,32,159,160
29,0,Female,50,190,102
34,0,Female,34,174,146
64,64,Female,34,177,4
13,13,Female,23,182,202
0,0,Male,49,182,78
92,92,Male,44,182,78
49,0,Male,19,187,120
64,0,Female,45,168,287
0,0,Male,61,186,141
93,93,Male,49,186,141
77,0,Male,69,193,149
2,0,Male,20,183,334
92,0,Male,36,185,216
34,34,Male,29,181,196
60,0,Male,50,190,225
17,0,Female,24,173,94
81,0,Male,32,181,250
46,46,Female,21,182,304
72,0,Female,28,159,329
46,46,Female,22,163,156
41,0,Male,52,176,245
0,0,Male,47,169,164
94,94,Male,47,169,164
36,0,Female,36,160,138
79,0,Male,52,181,254
85,0,Female,20,164,159
45,45,Female,22,200,319
91,0,Male,20,178,84
18,0,Female,38,170,169
21,21,Female,26,190,315
62,0,Male,19,193,9
81,81,Male,40,179,279
20,20,Female,39,162,173
60,0,Male,38,194,108
0,0,Male,38,179,209
95,95,Male,38,179,209
8,0,Female,11,160,153
7,0,Male,54,179,243
51,0,Male,35,184,264
42,42,Male,55,173,80
66,0,Male,60,172,228
88,88,Male,57,175,223
58,0,Male,27,179,264
31,0,Female,28,176,204
75,0,Female,22,162,268
59,0,Male,60,174,283
32,0,Female,24,168,168
68,0,Female,49,173,302
35,0,Male,33,197,75
0,0,Female,30,160,146
96,96,Female,30,160,146
35,0,Male,36,175,272
23,23,Male,31,170,317
65,0,Male,47,183,109
82,82,Male,40,177,309
16,0,Male,37,187,268
54,0,Female,29,166,210
48,0,Female,26,163,26
0,0,Male,31,163,314
97,97,Male,36,163,314
72,0,Female,38,149,180
23,0,Male,32,173,303
10,10,Male,32,191,80
78,0,Female,24,150,289
61,0,Male,50,167,65
74,0,Male,54,174,207
86,0,Male,33,185,233
21,21,Male,29,191,279
19,0,Female,43,170,249
44,0,Male,42,195,247
4,0,Male,46,177,130
92,0,Male,37,190,76
65,65,Male,41,186,244
2,0,Male,35,167,335
71,0,Female,24,167,283
9,0,Male,36,187,97
29,0,Male,24,169,220
52,0,Female,35,178,62
3,3,Male,51,194,240
63,0,Male,30,176,150
64,0,Female,30,174,288
36,36,Female,24,170,14
27,27,Male,45,180,118
21,21,Female,25,194,277
95,95,Male,38,180,210
39,39,Male,25,168,111
39,39,Female,29,164,146
95,0,Male,9,183,131
64,64,Female,36,175,323
73,0,Male,44,175,231
78,0,Female,50,154,286
29,0,Male,35,193,219
53,0,Female,26,174,17
70,70,Male,46,175,208
96,0,Male,22,166,21
30,0,Female,31,163,281
5,0,Male,47,184,75
8,0,Female,25,183,16
33,0,Male,56,187,185
30,30,Female,46,147,66
37,65,Male,45,177,231
46,46,Female,29,170,305
20,0,Male,18,170,72
41,82,Male,29,194,319
28,0,Female,28,160,19
54,0,Male,22,164,317
26,26,Female,24,156,127
19,0,Female,54,165,332
71,0,Female,29,183,79
83,0,Male,48,180,4
40,0,Male,26,173,278
68,0,Female,39,172,299
78,0,Female,27,153,288
91,0,Female,70,169,136
42,0,Male,27,173,213
10,10,Male,25,188,81
28,28,Female,28,160,20
41,0,Female,42,191,245
49,0,Male,39,184,295
81,0,Male,39,190,281
78,0,Female,29,149,290
77,0,Male,66,192,147
89,89,Male,31,172,167
51,0,Male,38,181,70
44,0,Male,40,182,245
49,0,Male,38,176,122
30,0,Female,49,148,284
41,41,Male,50,181,320
28,28,Female,22,164,90
55,55,Male,30,180,230
65,65,Male,33,178,109
82,82,Male,49,197,241
58,0,Male,36,182,42
70,70,Male,49,178,205
90,0,Female,25,175,87
25,25,Female,38,173,230
22,22,Female,43,164,303
78,0,Female,25,151,286
78,0,Female,50,173,290
26,26,Female,25,167,303
28,0,Female,23,171,333
67,0,Female,29,159,50
95,95,Male,40,169,208
35,0,Male,13,183,269
86,0,Male,31,182,145
90,0,Female,34,174,27
76,0,Female,35,175,26
17,0,Male,28,163,229
20,20,Female,40,162,72
82,82,Male,45,167,243
21,21,Female,38,193,315
79,0,Male,35,184,175
19,0,Male,53,158,331
32,0,Female,37,162,228
24,0,Male,45,182,95
25,25,Female,32,159,126
48,48,Female,23,163,26
35,0,Female,46,179,269
36,0,Male,27,171,138
93,0,Male,66,185,139
1,0,Female,31,155,69
48,0,Female,26,166,335
83,0,Male,35,188,50
0,0,Female,28,189,68
98,98,Female,28,189,68
73,73,Male,50,183,277
45,45,Female,40,193,284
28,28,Female,36,164,92
92,92,Male,34,177,38
75,0,Female,22,169,92
75,0,Female,29,159,94
38,0,Male,36,179,226
79,0,Male,41,182,177
30,30,Female,40,154,282
18,0,Female,24,168,170
78,78,Female,22,160,288
13,13,Male,19,177,291
57,0,Male,10,163,117
75,0,Female,45,159,299
37,37,Male,30,173,231
75,75,Female,28,168,298
48,0,Female,21,152,335
18,0,Female,32,169,116
85,85,Female,23,160,118
53,53,Female,34,170,96
85,0,Female,24,157,117
23,0,Male,47,180,317
47,0,Male,44,188,84
3,0,Female,22,182,240
37,0,Male,72,180,27
82,82,Male,46,178,171
58,58,Male,33,198,264
85,0,Female,9,151,117
95,44,Male,34,174,207
69,0,Female,33,164,109
14,0,Male,13,175,109
44,95,Male,42,179,154
33,0,Male,31,194,225
81,81,Male,37,179,249
92,0,Female,6,189,76
9,0,Male,39,179,320
81,81,Male,32,195,279
68,0,Female,48,173,302
68,0,Male,42,174,299
88,0,Male,41,184,134
53,53,Female,36,169,17
89,0,Male,33,179,18
16,0,Male,38,188,212
58,0,Male,40,182,42
41,0,Female,46,177,164
50,50,Female,28,169,186
72,0,Female,35,148,179
28,0,Female,56,164,335
30,30,Female,44,148,280
44,44,Male,32,186,153
9,0,Male,35,196,322
56,0,Female,33,180,334
41,0,Male,44,174,164
80,0,Male,58,170,130
83,0,Male,37,179,5
95,95,Male,35,181,134
33,0,Male,41,180,13
25,0,Male,39,171,128
53,0,Female,41,181,17
88,88,Male,70,175,135
51,0,Male,43,187,126
11,0,Male,63,174,317
53,53,Female,41,174,17
26,0,Female,24,153,85
77,0,Male,69,188,67
52,0,Female,28,158,61
25,25,Female,30,190,229
33,0,Male,31,181,225
12,0,Female,35,169,108
68,0,Male,34,171,166
66,66,Male,46,182,302
76,0,Male,48,174,309
68,0,Female,31,171,302
36,0,Female,27,169,12
66,0,Male,45,175,95
10,0,Female,26,173,79
25,25,Female,40,160,127
34,34,Male,32,195,145
6,0,Female,49,182,189
59,0,Male,40,188,104
45,45,Female,23,190,285
8,8,Female,27,173,15
12,0,Female,38,171,43
29,0,Male,32,191,102
80,0,Male,37,186,131
24,0,Male,34,194,97
98,0,Female,36,174,67
63,0,Male,58,190,168
2,0,Female,39,174,122
1,0,Female,29,156,260
82,82,Male,44,175,308
8,8,Female,19,175,116
10,0,Male,30,181,79
85,85,Female,15,159,34
2,0,Male,27,181,118
48,0,Female,25,170,244
64,0,Female,44,167,6
30,30,Female,36,174,289
23,0,Male,32,178,303
77,77,Male,66,175,128
70,0,Male,52,168,75
21,21,Female,19,199,276
95,0,Male,45,188,132
47,47,Male,43,175,83
31,0,Female,25,165,308
41,41,Male,42,194,164
7,7,Female,38,183,61
48,0,Female,30,162,333
78,78,Female,44,163,287
41,0,Male,19,178,164
78,0,Male,19,159,15
1,0,Female,19,157,70
62,0,Male,56,182,11
51,0,Female,44,180,72
16,0,Male,11,172,142
51,0,Male,57,177,71
69,0,Female,29,168,175
58,0,Male,60,192,42
45,0,Female,27,189,286
46,46,Female,20,176,305
21,21,Female,41,182,276
34,34,Male,39,182,195
42,0,Female,43,181,325
76,0,Male,48,180,40
9,9,Male,38,191,321
91,0,Male,39,184,84
82,0,Male,54,190,175
11,0,Male,31,172,190
83,0,Male,36,175,3
79,0,Male,62,175,294
6,6,Female,35,181,14
2,2,Male,24,167,120
36,0,Female,26,168,14
26,26,Female,31,162,86
5,5,Male,31,176,124
85,0,Male,35,162,38
77,77,Male,63,183,64
22,22,Female,37,173,224
91,0,Male,40,174,136
9,9,Male,50,182,175
74,0,Male,49,176,265
0,0,Female,34,170,91
99,99,Female,35,170,91
86,0,Male,35,178,145
92,0,Male,38,180,76
68,0,Female,37,162,302
83,0,Female,19,166,47
55,0,Male,40,190,228
73,0,Male,14,168,230
75,0,Female,28,155,92
48,0,Female,21,165,333
26,0,Female,26,161,301
78,78,Male,25,159,15
45,45,Female,25,198,286
71,0,Female,32,167,79
79,0,Male,35,181,255
94,0,Male,36,174,270
17,0,Male,34,167,231
72,0,Female,35,157,331
70,0,Male,57,181,75
27,0,Female,50,182,308
65,65,Male,48,177,204
99,0,Female,43,171,4
39,39,Female,27,167,145
34,0,Male,41,187,195
47,0,Female,49,181,87
91,0,Male,43,169,271
46,0,Female,25,170,156
65,0,Female,49,194,244
89,89,Male,29,173,164
73,0,Male,35,172,229
27,27,Female,55,176,308
46,0,Male,25,185,305
52,0,Female,27,161,141
22,22,Female,31,163,114
1,0,Female,22,170,70
77,0,Male,55,187,64
22,22,Female,31,170,223
4,0,Male,32,181,125
69,0,Female,26,160,179
89,89,Male,31,174,16
6,0,Female,56,184,243
93,0,Male,51,190,114
50,0,Female,25,164,37
26,0,Female,30,152,89
44,95,Male,41,182,245
90,0,Female,27,178,26
64,64,Female,39,172,324
91,0,Male,30,172,84
40,0,Female,39,179,183
61,0,Female,41,166,269
74,0,Male,52,182,205
14,0,Male,43,170,326
64,64,Female,27,174,3
54,0,Female,29,168,259
86,0,Male,27,182,196
13,13,Female,27,164,292
94,0,Male,41,194,270
56,0,Female,28,174,208
19,0,Male,47,165,309
94,0,Male,32,175,165
16,0,Male,38,189,144
15,0,Male,51,170,155
74,74,Male,52,171,205
25,25,Female,29,166,126
56,0,Male,33,183,208
75,0,Female,14,164,269
28,28,Female,24,168,18
23,0,Male,33,182,243
58,0,Male,31,177,256
79,0,Male,37,176,178
55,0,Male,37,181,43
38,0,Female,34,185,38
49,0,Male,34,187,150
62,0,Male,27,181,313
17,0,Male,22,186,230
60,60,Male,39,184,226
89,89,Male,29,178,16
61,61,Female,41,173,65
58,0,Male,26,185,263
83,0,Male,43,171,49
39,39,Female,26,157,166
43,0,Female,31,168,212
52,0,Female,28,171,195
68,0,Male,59,165,167
17,17,Female,20,165,96
25,0,Female,49,167,230
5,5,Male,27,183,123
45,45,Female,37,187,319
98,0,Female,47,179,254
24,0,Male,37,197,252
13,13,Female,24,169,292
47,47,Male,34,188,85
43,0,Male,51,169,9
23,0,Female,30,193,305
84,0,Male,54,176,60
22,0,Male,28,172,223
27,0,Male,52,172,306
41,0,Female,37,184,247
96,0,Female,37,172,144
58,0,Male,45,187,254
95,95,Male,41,176,66
34,34,Male,27,178,221
75,0,Female,25,152,303
45,45,Female,29,208,84
67,0,Female,23,157,49
80,0,Male,36,172,127
46,46,Female,30,167,306
44,0,Male,9,185,243
57,0,Female,36,169,117
68,0,Female,40,166,299
80,0,Male,54,177,126
91,0,Female,17,174,84
74,0,Male,49,172,263
34,0,Male,47,190,145
38,0,Female,39,177,36
58,0,Male,43,184,263
40,0,Female,29,177,285
28,28,Female,41,167,18
31,0,Female,41,157,307
25,0,Female,41,166,128
41,0,Female,41,193,164
28,0,Female,38,163,18
86,0,Male,18,192,194
19,0,Male,53,163,331
59,0,Male,41,177,285
63,0,Male,37,180,149
46,46,Female,29,179,305
35,0,Male,25,183,77
76,0,Male,61,185,26
63,0,Male,59,173,205
57,0,Male,46,166,182
49,0,Male,25,188,121
39,0,Female,28,152,165
20,0,Female,39,154,173
40,0,Male,42,162,282
87,0,Female,26,158,115
24,0,Female,30,195,253
5,0,Male,58,186,75
23,23,Male,31,175,318
72,72,Female,29,153,329
64,64,Female,34,171,5
16,16,Male,38,188,270
28,0,Female,33,161,91
25,0,Female,40,166,129
67,0,Female,30,158,167
59,0,Male,50,184,283
36,36,Female,30,168,14
35,0,Male,43,180,79
17,0,Male,23,164,100
63,0,Male,46,176,150
17,0,Female,24,172,8
69,0,Female,32,169,110
86,0,Male,27,193,232
53,53,Female,36,164,98
73,0,Male,54,169,199
99,0,Female,35,160,1
24,0,Female,36,187,252
13,0,Female,26,164,206
21,21,Female,27,179,276
94,0,Male,45,175,268
8,8,Female,28,165,16
62,0,Male,41,185,9
42,0,Male,66,182,80
46,46,Female,19,165,4
3,0,Male,49,191,43
81,0,Male,30,188,281
51,0,Male,57,189,126
59,0,Male,30,180,283
47,0,Male,58,174,84
34,0,Male,19,177,197
83,0,Male,34,184,4
4,0,Male,20,186,127
52,0,Female,33,167,140
30,0,Male,33,150,66
36,36,Female,26,164,164
18,0,Female,38,149,118
36,0,Female,32,179,164
2,2,Male,24,173,302
92,92,Male,34,188,76
6,0,Male,37,175,245
79,0,Male,52,181,291
30,0,Female,42,162,282
76,0,Male,54,172,36
78,0,Female,29,153,286
63,0,Male,32,187,205
2,2,Male,25,176,299
58,58,Male,41,185,254
57,0,Female,35,171,119
23,23,Male,31,191,317
47,47,Male,50,204,332
55,0,Male,24,193,43
57,0,Female,19,155,182
52,0,Female,39,160,139
52,0,Female,36,164,198
98,0,Male,50,171,205
74,74,Male,44,187,261
94,0,Male,44,173,164
7,7,Male,60,175,142
41,0,Male,50,181,319
42,42,Male,53,179,324
78,78,Female,28,165,286
8,0,Female,28,167,155
95,0,Female,49,175,66
41,0,Male,42,191,321
55,0,Male,37,190,43
4,0,Male,56,180,127
57,0,Female,20,167,144
60,60,Male,40,186,227
1,0,Female,33,163,260
74,0,Male,41,172,208
85,85,Female,23,146,118
67,0,Female,27,161,51
6,6,Female,39,183,243
50,50,Female,26,164,188
13,13,Female,26,172,200
5,0,Male,33,183,75
36,0,Female,24,185,167
21,21,Female,19,197,315
65,3,Male,38,188,111
39,0,Female,29,171,165
94,0,Male,36,173,163
53,0,Female,37,183,175
76,0,Male,41,169,36
40,0,Male,35,170,285
71,0,Female,34,164,283
3,3,Male,46,191,238
3,3,Male,41,186,130
11,0,Female,20,164,318
76,0,Male,45,189,31
65,65,Male,43,185,110
26,26,Female,23,154,129
75,75,Female,40,162,301
4,0,Male,35,183,273
50,50,Female,29,163,186
35,0,Male,39,186,6
64,0,Male,34,168,322
36,0,Female,31,168,12
10,0,Male,47,190,77
26,26,Female,17,157,128
90,0,Female,27,172,99
34,0,Male,34,182,196
14,0,Male,45,177,109
65,65,Male,40,188,110
63,0,Male,30,177,203
66,0,Male,59,179,301
99,0,Female,29,167,4
44,44,Male,37,194,156
9,0,Male,56,191,172
84,0,Male,47,181,58
19,0,Male,41,158,248
40,0,Female,24,163,285
65,65,Male,41,182,204
53,53,Female,30,176,96
48,0,Female,32,158,243
98,0,Female,53,176,66
40,0,Male,28,187,282
99,0,Female,22,170,1
73,0,Male,38,175,200
84,0,Female,34,174,106
26,26,Female,29,166,301
65,65,Male,42,186,242
74,0,Male,54,176,57
71,0,Female,28,175,78
69,0,Female,26,168,177
78,0,Female,25,145,18
89,89,Male,32,172,232
96,0,Female,31,167,145
96,0,Female,32,166,19
34,0,Female,58,186,145
77,0,Male,55,189,131
0,0,Male,48,193,49
100,100,Female,45,193,49
91,0,Male,34,165,82
56,0,Male,48,177,334
69,0,Female,30,175,224
59,0,Female,62,183,105
13,0,Female,27,178,293
87,0,Female,29,154,117
5,0,Male,41,183,214
39,0,Female,29,158,145
82,82,Male,47,164,172
36,0,Female,21,168,11
45,45,Female,28,191,319
1,0,Male,21,159,70
56,0,Female,21,169,335
19,0,Male,30,160,249
24,0,Male,40,205,203
46,46,Female,22,179,304
6,0,Female,26,189,241
28,0,Female,30,155,90
21,21,Male,37,186,316
42,0,Male,57,168,80
44,44,Male,37,188,59
94,0,Male,47,187,201
62,0,Male,36,188,312
100,0,Male,38,181,49
67,0,Female,21,159,50
22,22,Female,50,172,223
71,0,Female,33,161,79
62,0,Male,59,186,314
96,0,Male,13,162,145
49,0,Male,65,182,150
78,0,Male,47,159,287
25,0,Male,30,178,269
13,0,Female,26,170,204
72,0,Female,30,171,330
18,0,Female,33,170,116
90,0,Female,43,173,23
89,89,Male,30,188,18
6,0,Female,36,178,16
38,0,Female,25,180,227
92,92,Male,34,177,37
92,92,Male,38,187,77
67,0,Female,34,151,160
23,0,Male,34,179,243
39,39,Female,27,171,111
17,0,Female,28,159,230
37,0,Male,37,178,26
23,0,Male,36,182,304
14,0,Male,68,190,111
13,13,Female,20,173,205
94,0,Male,40,183,163
6,6,Female,37,173,187
1,0,Female,32,156,69
60,60,Male,35,190,227
63,0,Female,41,177,203
19,0,Female,45,163,249
80,80,Male,39,173,128
32,0,Female,37,161,227
81,0,Male,32,198,280
17,17,Male,28,180,229
85,85,Female,31,155,35
55,0,Male,58,184,124
79,0,Male,63,177,291
4,0,Male,31,185,125
12,0,Female,37,160,161
14,0,Male,43,175,111
97,0,Female,48,162,179
21,21,Female,28,191,277
60,0,Male,40,175,225
41,0,Male,38,184,245
3,0,Male,22,190,126
14,0,Male,44,182,109
31,0,Female,33,167,307
24,24,Male,34,195,252
82,82,Male,41,176,243
68,68,Female,35,164,303
25,0,Female,33,169,269
38,0,Female,31,175,291
24,24,Male,38,183,202
18,0,Female,26,156,235
5,5,Female,34,184,75
8,8,Female,22,180,16
33,0,Male,30,185,229
62,0,Female,49,194,313
67,67,Female,26,160,80
16,0,Male,43,180,214
32,0,Male,55,173,227
53,53,Female,40,178,16
64,64,Female,33,172,3
38,0,Female,33,169,229
68,0,Female,41,167,167
19,0,Female,55,166,331
6,0,Male,33,184,15
36,36,Female,21,177,11
18,0,Male,54,160,235
43,0,Female,25,165,211
9,0,Male,63,180,175
78,78,Female,29,154,291
23,0,Female,41,181,317
96,0,Female,32,171,181
57,0,Female,28,174,117
45,45,Female,30,194,285
50,50,Female,29,161,37
9,0,Male,57,178,322
58,0,Male,38,197,43
4,0,Male,38,189,127
51,0,Male,29,191,126
80,80,Male,60,178,132
80,0,Male,38,177,126
91,0,Female,33,184,271
55,0,Male,47,209,124
42,0,Male,43,166,81
56,0,Female,37,177,334
30,30,Female,35,147,283
82,82,Male,50,185,310
1,0,Female,25,157,71
73,0,Male,52,179,202
36,0,Female,39,168,11
20,20,Female,48,163,71
18,0,Female,27,169,170
39,0,Female,21,162,165
87,0,Female,41,154,234
88,0,Female,58,167,224
5,0,Male,44,180,122
30,0,Female,60,155,66
12,0,Male,53,158,108
15,0,Male,59,174,156
71,0,Female,38,177,80
1,0,Male,28,166,87
46,0,Female,25,163,304
44,0,Male,40,182,57
31,0,Female,33,155,166
46,46,Female,23,161,4
93,0,Male,47,185,143
65,0,Male,44,186,109
95,95,Male,32,174,67
39,0,Female,23,166,112
81,0,Female,47,186,249
62,62,Male,39,182,297
32,0,Female,29,165,227
31,0,Female,18,156,165
98,0,Female,28,185,65
91,0,Male,37,174,266
48,48,Female,23,157,335
40,0,Female,25,171,284
37,0,Male,72,175,232
75,0,Female,38,160,299
38,0,Female,29,185,38
74,0,Male,35,186,56
70,0,Male,38,178,206
51,0,Female,38,185,266
80,80,Male,41,170,130
40,0,Female,36,171,284
86,86,Male,23,196,194
1,0,Female,31,155,89
93,0,Male,48,182,144
36,0,Male,21,174,11
5,0,Female,55,182,213
42,0,Male,65,185,84
51,0,Female,44,190,267
96,0,Female,40,167,146
26,0,Female,28,162,85
83,0,Male,30,174,315
41,0,Male,36,188,244
38,0,Female,29,183,229
88,88,Male,49,175,225
53,0,Female,50,181,95
