N,id,image,height,time,R
30,28,28_1.jpg,"[162.1, 0.08]","['21:22:16', '2']",1
31,29,29_1.jpg,"[174.5, 0.08]","['07:47:21', '4']",1
32,30,30_1.jpg,"[164.7, 0.08]","['21:50:37', '6']",1
33,31,31_1.jpg,"[155.8, 0.08]","['05:36:13', '5']",1
34,17,17_2.jpg,"[171.1, 0.08]","['00:06:14', '3']",0
35,32,32_1.jpg,"[159.0, 0.08]","['14:17:23', '6']",1
36,33,33_1.jpg,"[182.1, 0.08]","['20:49:20', '4']",1
37,34,34_1.jpg,"[176.9, 0.08]","['02:42:09', '5']",1
38,35,35_1.jpg,"[182.9, 0.08]","['14:51:56', '2']",1
39,1,1_2.jpg,"[163.1, 0.08]","['10:24:34', '2']",0
40,36,36_1.jpg,"[177.2, 0.08]","['06:28:36', '1']",1
41,37,37_1.jpg,"[183.0, 0.08]","['13:47:34', '1']",1
42,38,38_1.jpg,"[178.5, 0.08]","['18:46:02', '1']",1
43,39,39_1.jpg,"[166.1, 0.08]","['10:45:14', '4']",1
44,40,40_1.jpg,"[175.3, 0.08]","['20:43:54', '4']",1
45,28,28_2.jpg,"[170.3, 0.08]","['10:21:40', '1']",0
46,6,6_2.jpg,"[173.7, 0.08]","['07:21:32', '1']",0
47,41,41_1.jpg,"[173.9, 0.08]","['10:18:27', '4']",1
48,6,6_3.jpg,"[183.5, 0.08]","['01:01:33', '6']",0
49,42,42_1.jpg,"[178.5, 0.08]","['18:19:51', '7']",1
50,43,43_1.jpg,"[167.0, 0.08]","['09:49:51', '5']",1
51,44,44_1.jpg,"[179.4, 0.08]","['01:49:58', '6']",1
52,45,45_1.jpg,"[180.1, 0.08]","['22:36:58', '6']",1
53,2,2_2.jpg,"[179.3, 0.08]","['06:16:27', '7']",0
54,37,37_2.jpg,"[176.3, 0.08]","['18:52:49', '5']",0
55,13,13_2.jpg,"[169.5, 0.08]","['02:11:27', '7']",0
56,46,46_1.jpg,"[173.7, 0.08]","['06:28:02', '4']",1
57,31,31_2.jpg,"[168.8, 0.08]","['11:32:04', '4']",0
58,42,42_2.jpg,"[182.2, 0.08]","['11:11:39', '5']",0
59,47,47_1.jpg,"[177.4, 0.08]","['11:50:38', '1']",1
60,48,48_1.jpg,"[164.0, 0.08]","['01:39:52', '6']",1
61,15,15_2.jpg,"[164.4, 0.08]","['04:54:00', '3']",0
62,38,38_2.jpg,"[175.8, 0.08]","['18:04:56', '5']",0
63,5,5_2.jpg,"[182.0, 0.08]","['10:52:59', '5']",0
64,49,49_1.jpg,"[173.2, 0.08]","['13:05:59', '3']",1
65,38,38_3.jpg,"[179.0, 0.08]","['01:34:36', '7']",0
66,13,13_3.jpg,"[166.7, 0.08]","['06:38:26', '5']",0
67,50,50_1.jpg,"[168.0, 0.08]","['18:55:36', '1']",1
68,51,51_1.jpg,"[188.1, 0.08]","['12:05:01', '6']",1
69,13,13_4.jpg,"[167.6, 0.08]","['04:23:24', '5']",0
70,52,52_1.jpg,"[161.1, 0.08]","['21:58:15', '3']",1
71,53,53_1.jpg,"[173.7, 0.08]","['00:20:39', '3']",1
72,1,1_3.jpg,"[157.3, 0.08]","['11:07:40', '2']",0
73,54,54_1.jpg,"[156.0, 0.08]","['10:03:08', '6']",1
74,22,22_2.jpg,"[181.0, 0.08]","['16:07:21', '5']",0
75,20,20_2.jpg,"[167.6, 0.08]","['12:26:59', '2']",0
76,7,7_2.jpg,"[179.1, 0.08]","['02:19:31', '6']",0
77,23,23_2.jpg,"[182.6, 0.08]","['10:15:24', '7']",0
78,55,55_1.jpg,"[179.9, 0.08]","['18:13:16', '5']",1
79,40,40_2.jpg,"[168.4, 0.08]","['20:40:14', '4']",0
80,21,21_3.jpg,"[178.8, 0.08]","['10:39:08', '5']",0
81,13,13_5.jpg,"[170.6, 0.08]","['02:18:44', '7']",0
82,37,37_3.jpg,"[178.7, 0.08]","['19:08:17', '5']",0
83,56,56_1.jpg,"[172.3, 0.08]","['07:45:52', '5']",1
84,3,3_3.jpg,"[188.3, 0.08]","['00:06:52', '6']",0
85,57,57_1.jpg,"[160.2, 0.08]","['19:36:03', '4']",1
86,56,56_2.jpg,"[169.9, 0.08]","['08:51:21', '5']",0
87,16,16_2.jpg,"[173.1, 0.08]","['09:54:57', '5']",0
88,5,5_3.jpg,"[181.1, 0.08]","['14:05:42', '2']",0
89,12,12_2.jpg,"[173.5, 0.08]","['07:09:12', '3']",0
90,50,50_2.jpg,"[168.4, 0.08]","['21:54:01', '6']",0
91,30,30_2.jpg,"[148.2, 0.08]","['01:43:33', '7']",0
92,58,58_1.jpg,"[176.3, 0.08]","['11:48:12', '6']",1
93,10,10_2.jpg,"[184.5, 0.08]","['12:13:08', '3']",0
94,22,22_3.jpg,"[167.3, 0.08]","['16:15:28', '5']",0
95,1,1_4.jpg,"[154.6, 0.08]","['22:00:35', '2']",0
96,59,59_1.jpg,"[173.7, 0.08]","['21:43:18', '6']",1
97,59,59_2.jpg,"[183.7, 0.08]","['11:18:56', '1']",0
98,60,60_1.jpg,"[189.3, 0.08]","['17:17:02', '5']",1
99,61,61_1.jpg,"[158.1, 0.08]","['12:04:03', '6']",1
100,14,14_2.jpg,"[173.5, 0.08]","['08:02:27', '7']",0
101,38,38_4.jpg,"[184.7, 0.08]","['19:02:20', '1']",0
102,17,17_3.jpg,"[161.5, 0.08]","['23:02:21', '2']",0
103,7,7_3.jpg,"[179.5, 0.08]","['21:56:19', '3']",0
104,33,33_2.jpg,"[182.3, 0.08]","['20:55:30', '4']",0
105,46,46_2.jpg,"[181.9, 0.08]","['05:05:58', '4']",0
106,47,47_2.jpg,"[185.8, 0.08]","['18:02:01', '2']",0
107,35,35_2.jpg,"[177.7, 0.08]","['15:00:02', '6']",0
108,62,62_1.jpg,"[189.8, 0.08]","['04:41:08', '7']",1
109,42,42_3.jpg,"[181.8, 0.08]","['11:10:41', '5']",0
110,26,26_2.jpg,"[159.7, 0.08]","['16:06:46', '3']",0
111,63,63_1.jpg,"[188.8, 0.08]","['05:56:24', '5']",1
112,43,43_2.jpg,"[166.9, 0.08]","['04:59:15', '1']",0
113,64,64_1.jpg,"[172.2, 0.08]","['01:54:45', '1']",1
114,9,9_2.jpg,"[184.4, 0.08]","['14:21:52', '4']",0
115,59,59_3.jpg,"[182.6, 0.08]","['21:29:36', '6']",0
116,57,57_2.jpg,"[157.1, 0.08]","['00:11:33', '4']",0
117,65,65_1.jpg,"[171.9, 0.08]","['06:15:32', '5']",1
118,57,57_3.jpg,"[164.8, 0.08]","['00:39:16', '4']",0
119,24,24_2.jpg,"[189.2, 0.08]","['23:42:29', '2']",0
120,66,66_1.jpg,"[183.3, 0.08]","['16:43:18', '5']",1
121,64,64_2.jpg,"[168.0, 0.08]","['01:37:56', '1']",0
122,22,22_4.jpg,"[168.6, 0.08]","['09:15:46', '3']",0
123,67,67_1.jpg,"[166.9, 0.08]","['16:09:47', '2']",1
124,2,2_3.jpg,"[181.1, 0.08]","['11:23:43', '3']",0
125,40,40_3.jpg,"[175.3, 0.08]","['22:45:40', '6']",0
126,25,25_2.jpg,"[170.0, 0.08]","['14:34:15', '6']",0
127,4,4_2.jpg,"[179.8, 0.08]","['14:40:41', '3']",0
128,68,68_1.jpg,"[177.3, 0.08]","['07:17:23', '7']",1
129,1,1_5.jpg,"[175.0, 0.08]","['09:55:15', '6']",0
130,18,18_2.jpg,"[171.5, 0.08]","['11:22:14', '3']",0
131,34,34_2.jpg,"[180.9, 0.08]","['02:28:16', '5']",0
132,69,69_1.jpg,"[172.7, 0.08]","['16:22:25', '5']",1
133,70,70_1.jpg,"[179.5, 0.08]","['08:22:14', '5']",1
134,62,62_2.jpg,"[178.4, 0.08]","['12:57:19', '7']",0
135,71,71_1.jpg,"[176.5, 0.08]","['22:13:12', '6']",1
136,8,8_2.jpg,"[184.5, 0.08]","['09:53:28', '3']",0
137,27,27_2.jpg,"[175.6, 0.08]","['09:00:06', '7']",0
138,34,34_3.jpg,"[191.6, 0.08]","['00:49:26', '4']",0
139,14,14_3.jpg,"[185.8, 0.08]","['08:02:01', '7']",0
140,72,72_1.jpg,"[161.3, 0.08]","['23:14:53', '6']",1
141,38,38_5.jpg,"[173.8, 0.08]","['02:29:15', '7']",0
142,50,50_3.jpg,"[172.0, 0.08]","['22:04:19', '4']",0
143,21,21_4.jpg,"[193.2, 0.08]","['09:39:57', '5']",0
144,26,26_3.jpg,"[153.0, 0.08]","['18:20:20', '2']",0
145,9,9_3.jpg,"[190.2, 0.08]","['01:40:41', '3']",0
146,73,73_1.jpg,"[179.9, 0.08]","['03:55:35', '5']",1
147,74,74_1.jpg,"[184.7, 0.08]","['11:12:15', '6']",1
148,48,48_2.jpg,"[166.0, 0.08]","['14:00:06', '1']",0
149,31,31_3.jpg,"[157.0, 0.08]","['09:44:58', '7']",0
150,75,75_1.jpg,"[162.1, 0.08]","['15:54:48', '6']",1
151,76,76_1.jpg,"[169.0, 0.08]","['18:16:10', '1']",1
152,77,77_1.jpg,"[188.9, 0.08]","['07:29:53', '2']",1
153,78,78_1.jpg,"[154.1, 0.08]","['23:36:27', '6']",1
154,37,37_4.jpg,"[181.1, 0.08]","['19:08:54', '5']",0
155,34,34_4.jpg,"[178.6, 0.08]","['15:16:40', '5']",0
156,36,36_2.jpg,"[169.2, 0.08]","['06:38:37', '1']",0
157,20,20_3.jpg,"[166.2, 0.08]","['11:33:34', '2']",0
158,79,79_1.jpg,"[171.9, 0.08]","['01:35:15', '7']",1
159,26,26_4.jpg,"[165.0, 0.08]","['15:40:25', '3']",0
160,46,46_3.jpg,"[173.6, 0.08]","['09:05:18', '7']",0
161,73,73_2.jpg,"[172.0, 0.08]","['19:28:02', '6']",0
162,41,41_2.jpg,"[190.6, 0.08]","['09:49:48', '4']",0
163,61,61_2.jpg,"[156.0, 0.08]","['08:17:18', '2']",0
164,58,58_2.jpg,"[196.6, 0.08]","['07:39:49', '6']",0
165,10,10_3.jpg,"[173.6, 0.08]","['15:18:39', '2']",0
166,44,44_2.jpg,"[181.8, 0.08]","['05:51:03', '2']",0
167,58,58_3.jpg,"[190.6, 0.08]","['12:03:41', '6']",0
168,12,12_3.jpg,"[170.6, 0.08]","['08:41:59', '4']",0
169,55,55_2.jpg,"[194.2, 0.08]","['14:09:32', '3']",0
170,39,39_2.jpg,"[166.5, 0.08]","['01:20:44', '4']",0
171,8,8_3.jpg,"[170.3, 0.08]","['04:27:08', '4']",0
172,50,50_4.jpg,"[173.2, 0.08]","['22:04:49', '4']",0
173,80,80_1.jpg,"[164.6, 0.08]","['16:06:25', '3']",1
174,35,35_3.jpg,"[175.8, 0.08]","['02:48:29', '1']",0
175,67,67_2.jpg,"[161.4, 0.08]","['17:48:45', '2']",0
176,79,79_2.jpg,"[183.1, 0.08]","['16:20:01', '4']",0
177,39,39_3.jpg,"[157.3, 0.08]","['00:56:32', '4']",0
178,30,30_3.jpg,"[152.1, 0.08]","['20:34:42', '6']",0
179,18,18_3.jpg,"[174.3, 0.08]","['23:08:59', '5']",0
180,81,81_1.jpg,"[185.8, 0.08]","['20:22:15', '6']",1
181,76,76_2.jpg,"[190.8, 0.08]","['13:17:17', '1']",0
182,82,82_1.jpg,"[182.1, 0.08]","['01:44:10', '6']",1
183,23,23_3.jpg,"[187.8, 0.08]","['00:31:35', '6']",0
184,30,30_4.jpg,"[160.4, 0.08]","['01:35:21', '7']",0
185,81,81_2.jpg,"[186.7, 0.08]","['03:08:57', '5']",0
186,59,59_4.jpg,"[188.5, 0.08]","['23:35:33', '6']",0
187,36,36_3.jpg,"[173.7, 0.08]","['23:13:09', '3']",0
188,83,83_1.jpg,"[179.3, 0.08]","['01:54:52', '1']",1
189,45,45_2.jpg,"[194.3, 0.08]","['17:22:32', '2']",0
190,2,2_4.jpg,"[168.4, 0.08]","['11:30:14', '3']",0
191,19,19_2.jpg,"[169.5, 0.08]","['21:11:05', '7']",0
192,47,47_3.jpg,"[190.5, 0.08]","['22:47:17', '7']",0
193,54,54_2.jpg,"[160.7, 0.08]","['14:37:08', '7']",0
194,54,54_3.jpg,"[154.3, 0.08]","['10:41:40', '6']",0
195,84,84_1.jpg,"[178.4, 0.08]","['03:53:39', '3']",1
196,27,27_3.jpg,"[178.0, 0.08]","['11:41:23', '3']",0
197,69,69_2.jpg,"[176.6, 0.08]","['16:03:35', '5']",0
198,21,21_5.jpg,"[189.4, 0.08]","['09:32:53', '5']",0
199,44,44_3.jpg,"[181.3, 0.08]","['04:55:55', '2']",0
200,48,48_3.jpg,"[158.1, 0.08]","['02:24:06', '6']",0
201,85,85_1.jpg,"[161.1, 0.08]","['17:46:39', '1']",1
202,86,86_1.jpg,"[189.4, 0.08]","['01:47:09', '5']",1
203,23,23_4.jpg,"[181.0, 0.08]","['15:14:30', '7']",0
204,10,10_4.jpg,"[192.4, 0.08]","['12:13:40', '3']",0
205,53,53_2.jpg,"[175.3, 0.08]","['15:47:02', '4']",0
206,87,87_1.jpg,"[168.6, 0.08]","['10:35:25', '5']",1
207,88,88_1.jpg,"[189.2, 0.08]","['19:45:23', '3']",1
208,89,89_1.jpg,"[180.5, 0.08]","['10:42:34', '4']",1
209,22,22_5.jpg,"[172.4, 0.08]","['10:35:26', '3']",0
210,4,4_3.jpg,"[178.9, 0.08]","['15:43:40', '3']",0
211,43,43_3.jpg,"[169.7, 0.08]","['14:45:58', '1']",0
212,17,17_4.jpg,"[173.0, 0.08]","['04:56:31', '1']",0
213,18,18_4.jpg,"[167.3, 0.08]","['21:51:58', '5']",0
214,7,7_4.jpg,"[184.8, 0.08]","['22:18:47', '3']",0
215,41,41_3.jpg,"[175.9, 0.08]","['10:32:42', '4']",0
216,70,70_2.jpg,"[171.9, 0.08]","['07:07:27', '5']",0
217,68,68_2.jpg,"[173.2, 0.08]","['11:20:00', '4']",0
218,60,60_2.jpg,"[167.8, 0.08]","['17:29:59', '5']",0
219,90,90_1.jpg,"[170.5, 0.08]","['01:21:20', '3']",1
220,4,4_4.jpg,"[181.1, 0.08]","['14:12:01', '3']",0
221,57,57_4.jpg,"[152.8, 0.08]","['11:12:27', '3']",0
222,51,51_2.jpg,"[196.6, 0.08]","['14:57:56', '3']",0
223,47,47_4.jpg,"[186.3, 0.08]","['19:39:00', '2']",0
224,25,25_3.jpg,"[167.4, 0.08]","['16:28:58', '6']",0
225,35,35_4.jpg,"[176.3, 0.08]","['16:34:59', '6']",0
226,36,36_4.jpg,"[168.1, 0.08]","['10:45:37', '4']",0
227,89,89_2.jpg,"[167.0, 0.08]","['19:01:32', '5']",0
228,32,32_2.jpg,"[166.8, 0.08]","['14:21:03', '6']",0
229,42,42_4.jpg,"[171.9, 0.08]","['16:07:42', '2']",0
230,59,59_5.jpg,"[175.1, 0.08]","['11:37:04', '1']",0
231,5,5_4.jpg,"[172.1, 0.08]","['13:17:12', '2']",0
232,34,34_5.jpg,"[181.0, 0.08]","['00:13:11', '4']",0
233,91,91_1.jpg,"[175.0, 0.08]","['14:00:48', '6']",1
234,38,38_6.jpg,"[177.9, 0.08]","['17:59:30', '5']",0
235,91,91_2.jpg,"[175.3, 0.08]","['14:13:57', '6']",0
236,82,82_2.jpg,"[181.1, 0.08]","['13:22:16', '4']",0
237,24,24_3.jpg,"[191.4, 0.08]","['05:44:51', '5']",0
238,21,21_6.jpg,"[183.5, 0.08]","['09:45:24', '5']",0
239,48,48_4.jpg,"[173.1, 0.08]","['23:17:27', '7']",0
240,67,67_3.jpg,"[159.6, 0.08]","['08:03:39', '4']",0
241,29,29_2.jpg,"[190.4, 0.08]","['03:00:51', '3']",0
242,34,34_6.jpg,"[174.8, 0.08]","['01:11:39', '4']",0
243,64,64_3.jpg,"[177.9, 0.08]","['02:03:01', '1']",0
244,13,13_6.jpg,"[182.6, 0.08]","['05:29:37', '5']",0
245,92,92_1.jpg,"[182.4, 0.08]","['15:19:09', '2']",1
246,49,49_2.jpg,"[187.3, 0.08]","['12:26:25', '3']",0
247,64,64_4.jpg,"[168.8, 0.08]","['23:49:17', '6']",0
248,93,93_1.jpg,"[186.1, 0.08]","['22:42:09', '3']",1
249,77,77_2.jpg,"[193.6, 0.08]","['02:44:12', '4']",0
250,2,2_5.jpg,"[183.3, 0.08]","['23:28:07', '7']",0
251,92,92_2.jpg,"[185.2, 0.08]","['12:13:36', '5']",0
252,34,34_7.jpg,"[181.9, 0.08]","['02:28:31', '5']",0
253,60,60_3.jpg,"[190.3, 0.08]","['16:52:29', '5']",0
254,17,17_5.jpg,"[173.9, 0.08]","['23:07:30', '2']",0
255,81,81_3.jpg,"[181.1, 0.08]","['05:15:45', '6']",0
256,46,46_4.jpg,"[182.2, 0.08]","['08:21:50', '7']",0
257,72,72_2.jpg,"[159.9, 0.08]","['20:33:47', '7']",0
258,46,46_5.jpg,"[163.6, 0.08]","['06:01:29', '4']",0
259,41,41_4.jpg,"[176.3, 0.08]","['02:59:33', '6']",0
260,94,94_1.jpg,"[169.4, 0.08]","['10:24:07', '4']",1
261,36,36_5.jpg,"[160.7, 0.08]","['21:15:18', '3']",0
262,79,79_3.jpg,"[181.2, 0.08]","['07:23:09', '6']",0
263,85,85_2.jpg,"[164.9, 0.08]","['07:56:33', '4']",0
264,45,45_3.jpg,"[200.2, 0.08]","['15:35:06', '7']",0
265,91,91_3.jpg,"[178.4, 0.08]","['18:00:38', '2']",0
266,18,18_5.jpg,"[170.5, 0.08]","['12:49:31', '4']",0
267,21,21_7.jpg,"[190.6, 0.08]","['13:40:47', '7']",0
268,62,62_3.jpg,"[193.2, 0.08]","['04:59:20', '1']",0
269,81,81_4.jpg,"[179.7, 0.08]","['19:48:32', '6']",0
270,20,20_4.jpg,"[162.4, 0.08]","['14:43:27', '4']",0
271,60,60_4.jpg,"[194.8, 0.08]","['06:24:48', '3']",0
272,95,95_1.jpg,"[179.0, 0.08]","['08:37:20', '5']",1
273,8,8_4.jpg,"[160.1, 0.08]","['04:42:04', '4']",0
274,7,7_5.jpg,"[179.6, 0.08]","['01:56:56', '6']",0
275,51,51_3.jpg,"[184.0, 0.08]","['12:05:08', '6']",0
276,42,42_5.jpg,"[173.7, 0.08]","['16:12:45', '2']",0
277,66,66_2.jpg,"[172.9, 0.08]","['18:22:39', '5']",0
278,88,88_2.jpg,"[175.0, 0.08]","['15:49:15', '5']",0
279,58,58_4.jpg,"[179.1, 0.08]","['12:10:08', '6']",0
280,31,31_4.jpg,"[176.2, 0.08]","['06:04:33', '5']",0
281,75,75_2.jpg,"[162.4, 0.08]","['14:19:56', '6']",0
282,59,59_6.jpg,"[174.8, 0.08]","['21:43:55', '6']",0
283,32,32_3.jpg,"[168.1, 0.08]","['12:26:27', '4']",0
284,68,68_3.jpg,"[173.6, 0.08]","['07:20:27', '7']",0
285,35,35_5.jpg,"[197.5, 0.08]","['13:55:43', '2']",0
286,96,96_1.jpg,"[160.5, 0.08]","['01:19:13', '4']",1
287,35,35_6.jpg,"[175.7, 0.08]","['16:24:17', '6']",0
288,23,23_5.jpg,"[170.6, 0.08]","['14:45:23', '7']",0
289,65,65_2.jpg,"[183.6, 0.08]","['06:39:07', '3']",0
290,82,82_3.jpg,"[177.4, 0.08]","['10:49:02', '7']",0
291,16,16_3.jpg,"[187.1, 0.08]","['14:23:50', '6']",0
292,54,54_4.jpg,"[166.8, 0.08]","['09:13:05', '5']",0
293,48,48_5.jpg,"[163.1, 0.08]","['13:13:09', '1']",0
294,97,97_1.jpg,"[163.7, 0.08]","['13:01:14', '7']",1
295,72,72_3.jpg,"[149.1, 0.08]","['18:03:50', '4']",0
296,23,23_6.jpg,"[173.3, 0.08]","['07:43:48', '7']",0
297,10,10_5.jpg,"[191.0, 0.08]","['16:03:29', '2']",0
298,78,78_2.jpg,"[150.7, 0.08]","['00:43:45', '7']",0
299,61,61_3.jpg,"[167.7, 0.08]","['08:35:30', '2']",0
300,74,74_2.jpg,"[174.5, 0.08]","['07:35:47', '5']",0
301,86,86_2.jpg,"[185.7, 0.08]","['20:46:04', '5']",0
302,21,21_8.jpg,"[191.2, 0.08]","['19:45:10', '6']",0
303,19,19_3.jpg,"[170.3, 0.08]","['04:37:30', '6']",0
304,44,44_4.jpg,"[195.3, 0.08]","['03:31:18', '6']",0
305,4,4_5.jpg,"[177.6, 0.08]","['17:24:45', '3']",0
306,92,92_3.jpg,"[190.0, 0.08]","['14:25:55', '2']",0
307,65,65_3.jpg,"[186.8, 0.08]","['02:04:15', '6']",0
308,2,2_6.jpg,"[167.2, 0.08]","['23:59:35', '7']",0
309,71,71_2.jpg,"[167.1, 0.08]","['21:47:43', '6']",0
310,9,9_4.jpg,"[187.8, 0.08]","['00:50:57', '3']",0
311,29,29_3.jpg,"[169.9, 0.08]","['14:10:34', '5']",0
312,52,52_2.jpg,"[178.5, 0.08]","['07:03:28', '2']",0
313,3,3_4.jpg,"[194.0, 0.08]","['00:06:22', '6']",0
314,63,63_2.jpg,"[176.0, 0.08]","['03:17:39', '4']",0
315,64,64_5.jpg,"[174.0, 0.08]","['00:25:54', '7']",0
316,36,36_6.jpg,"[170.1, 0.08]","['07:08:20', '1']",0
317,27,27_4.jpg,"[180.7, 0.08]","['11:08:44', '3']",0
318,21,21_9.jpg,"[194.9, 0.08]","['18:50:33', '6']",0
319,95,95_2.jpg,"[180.5, 0.08]","['09:29:20', '5']",0
320,39,39_4.jpg,"[168.9, 0.08]","['07:42:29', '3']",0
321,39,39_5.jpg,"[164.6, 0.08]","['01:13:45', '4']",0
322,95,95_3.jpg,"[183.7, 0.08]","['17:52:51', '3']",0
323,64,64_6.jpg,"[175.7, 0.08]","['17:44:51', '7']",0
324,73,73_3.jpg,"[175.5, 0.08]","['19:50:47', '5']",0
325,78,78_3.jpg,"[154.9, 0.08]","['23:07:25', '6']",0
326,29,29_4.jpg,"[193.8, 0.08]","['13:57:22', '5']",0
327,53,53_3.jpg,"[174.2, 0.08]","['08:40:15', '1']",0
328,70,70_3.jpg,"[175.7, 0.08]","['08:25:12', '5']",0
329,96,96_2.jpg,"[166.9, 0.08]","['10:45:51', '1']",0
330,30,30_5.jpg,"[163.7, 0.08]","['20:35:28', '6']",0
331,5,5_5.jpg,"[184.7, 0.08]","['13:42:45', '2']",0
332,8,8_5.jpg,"[183.7, 0.08]","['08:25:13', '1']",0
333,33,33_3.jpg,"[187.2, 0.08]","['20:52:02', '4']",0
334,30,30_6.jpg,"[147.8, 0.08]","['09:05:31', '2']",0
335,37,37_5.jpg,"[177.5, 0.08]","['19:44:10', '5']",0
336,46,46_6.jpg,"[170.8, 0.08]","['08:53:05', '7']",0
337,20,20_5.jpg,"[170.0, 0.08]","['12:23:56', '2']",0
338,41,41_5.jpg,"[194.5, 0.08]","['15:43:18', '7']",0
339,28,28_3.jpg,"[160.7, 0.08]","['09:38:23', '1']",0
340,54,54_5.jpg,"[164.2, 0.08]","['14:59:47', '7']",0
341,26,26_5.jpg,"[156.9, 0.08]","['15:39:34', '3']",0
342,19,19_4.jpg,"[165.2, 0.08]","['22:27:05', '7']",0
343,71,71_3.jpg,"[183.3, 0.08]","['15:32:52', '2']",0
344,83,83_2.jpg,"[180.8, 0.08]","['02:28:27', '1']",0
345,40,40_4.jpg,"[173.6, 0.08]","['19:29:38', '6']",0
346,68,68_4.jpg,"[172.2, 0.08]","['05:32:45', '7']",0
347,78,78_4.jpg,"[153.0, 0.08]","['00:09:45', '7']",0
348,91,91_4.jpg,"[169.6, 0.08]","['20:18:28', '3']",0
349,42,42_6.jpg,"[173.7, 0.08]","['10:49:58', '5']",0
350,10,10_6.jpg,"[188.4, 0.08]","['16:31:38', '2']",0
351,28,28_4.jpg,"[160.2, 0.08]","['10:25:27', '1']",0
352,41,41_6.jpg,"[191.8, 0.08]","['02:55:16', '6']",0
353,49,49_3.jpg,"[184.8, 0.08]","['03:31:20', '7']",0
354,81,81_5.jpg,"[190.1, 0.08]","['20:35:43', '6']",0
355,78,78_5.jpg,"[149.7, 0.08]","['01:21:55', '7']",0
356,77,77_3.jpg,"[192.2, 0.08]","['01:59:57', '4']",0
357,89,89_3.jpg,"[172.2, 0.08]","['11:48:55', '4']",0
358,51,51_4.jpg,"[181.8, 0.08]","['11:14:10', '2']",0
359,44,44_5.jpg,"[182.2, 0.08]","['02:30:22', '6']",0
360,49,49_4.jpg,"[176.3, 0.08]","['13:06:56', '3']",0
361,30,30_7.jpg,"[148.6, 0.08]","['22:05:19', '6']",0
362,41,41_7.jpg,"[181.4, 0.08]","['16:08:05', '7']",0
363,28,28_5.jpg,"[164.1, 0.08]","['21:25:15', '2']",0
364,55,55_3.jpg,"[180.6, 0.08]","['19:07:38', '5']",0
365,65,65_4.jpg,"[178.9, 0.08]","['06:39:56', '3']",0
366,82,82_4.jpg,"[197.7, 0.08]","['00:48:31', '6']",0
367,58,58_5.jpg,"[182.6, 0.08]","['21:16:51', '1']",0
368,70,70_4.jpg,"[178.5, 0.08]","['06:54:51', '5']",0
369,90,90_2.jpg,"[175.0, 0.08]","['19:58:52', '2']",0
370,25,25_4.jpg,"[173.6, 0.08]","['19:17:21', '5']",0
371,22,22_6.jpg,"[164.9, 0.08]","['07:53:59', '7']",0
372,78,78_6.jpg,"[151.0, 0.08]","['23:18:37', '6']",0
373,78,78_7.jpg,"[173.5, 0.08]","['01:21:09', '7']",0
374,26,26_6.jpg,"[167.3, 0.08]","['07:47:18', '7']",0
375,28,28_6.jpg,"[171.7, 0.08]","['22:50:18', '7']",0
376,67,67_4.jpg,"[159.4, 0.08]","['01:15:49', '2']",0
377,95,95_4.jpg,"[169.3, 0.08]","['08:18:01', '5']",0
