id,name,gender,age,height,times,occurrence
53,Norman Reedus,Male,41,178,"[['06:47:36', '3']]","[10, 1, 10]"
54,Timothy Olyphant,Male,42,183,"[['09:33:38', '1']]","[10, 1, 10]"
55,Robert Pattinson,Male,26,185,"[['07:32:10', '6']]","[10, 1, 10]"
56,Zoe Saldana,Female,36,170,"[['12:55:55', '6']]","[10, 1, 10]"
57,Mindy Kaling,Female,33,163,"[['06:04:43', '5']]","[10, 1, 10]"
58,Leonardo DiCaprio,Male,38,183,"[['04:40:25', '5']]","[10, 1, 10]"
59,Noah Wyle,Male,40,185,"[['07:51:53', '2']]","[10, 1, 10]"
60,Charlize Theron,Female,29,177,"[['21:35:11', '2']]","[10, 1, 10]"
61,Jane Lynch,Female,48,183,"[['22:41:50', '1']]","[10, 1, 10]"
62,Melissa Joan Hart,Female,34,157,"[['05:19:14', '1']]","[10, 1, 10]"
63,Jake Johnson,Male,33,178,"[['01:46:06', '6']]","[10, 1, 10]"
64,Alison Brie,Female,26,160,"[['13:05:33', '5']]","[10, 1, 10]"
65,Joel Kinnaman,Male,31,189,"[['22:29:08', '2']]","[10, 1, 10]"
66,Will Smith,Male,21,188,"[['08:53:27', '2']]","[10, 1, 10]"
67,Jennifer Lawrence,Female,23,175,"[['05:07:58', '6']]","[10, 1, 10]"
68,Jensen Ackles,Male,27,186,"[['23:59:20', '6']]","[10, 1, 10]"
69,Mireille Enos,Female,35,157,"[['13:05:49', '3']]","[10, 1, 10]"
70,Chloe Grace Moretz,Female,17,163,"[['15:45:15', '7']]","[10, 1, 10]"
71,America Ferrera,Female,22,155,"[['21:32:20', '4']]","[10, 1, 10]"
72,Ed Westwick,Male,20,175,"[['07:57:29', '1']]","[10, 1, 10]"
73,Angelina Jolie,Female,35,169,"[['10:41:16', '1']]","[10, 1, 10]"
74,Cate Blanchett,Female,46,174,"[['18:02:38', '6']]","[10, 1, 10]"
75,Damian Lewis,Male,40,185,"[['17:30:26', '4']]","[10, 1, 10]"
76,Josh Radnor,Male,30,182,"[['04:40:16', '3']]","[10, 1, 10]"
77,John Noble,Male,59,185,"[['16:18:40', '1']]","[10, 1, 10]"
78,Kerry Washington,Female,35,163,"[['20:19:00', '2']]","[10, 1, 10]"
79,Sandra Oh,Female,33,168,"[['23:18:21', '3']]","[10, 1, 10]"
80,Taylor Schilling,Female,28,173,"[['12:05:50', '3']]","[10, 1, 10]"
81,Justin Chambers,Male,34,180,"[['14:23:03', '5']]","[10, 1, 10]"
82,Kristen Stewart,Female,22,165,"[['22:27:47', '4']]","[10, 1, 10]"
83,Michael Emerson,Male,56,173,"[['05:31:25', '7']]","[10, 1, 10]"
84,Mark Harmon,Male,51,183,"[['23:24:57', '5']]","[10, 1, 10]"
85,Aaron Paul,Male,28,173,"[['06:22:02', '4']]","[10, 1, 10]"
86,Teri Hatcher,Female,39,168,"[['23:53:17', '3']]","[10, 1, 10]"
87,Ellen Pompeo,Female,35,170,"[['18:05:34', '3']]","[10, 1, 10]"
88,Paul Reiser,Male,35,178,"[['11:54:38', '1']]","[10, 1, 10]"
89,Felicity Huffman,Female,41,165,"[['19:33:34', '2']]","[10, 1, 10]"
90,Laura Linney,Female,46,170,"[['21:18:25', '2']]","[10, 1, 10]"
91,Kodi Smit-McPhee,Male,16,188,"[['17:36:03', '6']]","[10, 1, 10]"
92,Matthew McConaughey,Male,44,183,"[['21:28:59', '1']]","[10, 1, 10]"
93,John Slattery,Male,44,178,"[['11:22:10', '7']]","[10, 1, 10]"
94,David Boreanaz,Male,36,185,"[['16:19:38', '1']]","[10, 1, 10]"
95,Sarah Wayne Callies,Female,33,174,"[['00:14:44', '5']]","[10, 1, 10]"
96,Kaley Cuoco,Female,21,168,"[['11:26:46', '1']]","[10, 1, 10]"
97,Kevin Costner,Male,59,185,"[['16:52:19', '2']]","[10, 1, 10]"
98,Mark Wahlberg,Male,39,173,"[['07:07:23', '4']]","[10, 1, 10]"
99,Jim Caviezel,Male,42,188,"[['04:30:00', '3']]","[10, 1, 10]"
100,Channing Tatum,Male,32,185,"[['02:29:29', '2']]","[10, 1, 10]"
101,Cybill Shepherd,Female,35,173,"[['01:31:36', '6']]","[10, 1, 10]"
102,John Ritter,Male,28,180,"[['15:30:07', '5']]","[10, 1, 10]"
103,Bryan Cranston,Male,52,179,"[['23:26:01', '2']]","[10, 1, 10]"
104,Simon Helberg,Male,26,170,"[['21:59:15', '7']]","[10, 1, 10]"
105,Vincent Kartheiser,Male,28,180,"[['23:35:12', '2']]","[10, 1, 10]"
106,Cobie Smulders,Female,23,173,"[['23:32:58', '5']]","[10, 1, 10]"
107,Kunal Nayyar,Male,26,171,"[['15:30:07', '5']]","[10, 1, 10]"
108,Zachary Levi,Male,26,191,"[['16:35:42', '2']]","[10, 1, 10]"
109,Nina Dobrev,Female,20,169,"[['08:10:20', '7']]","[10, 1, 10]"
110,Neil Patrick Harris,Male,32,183,"[['21:04:45', '7']]","[10, 1, 10]"
111,Yvette Nicole Brown,Female,37,155,"[['10:59:23', '5']]","[10, 1, 10]"
112,Madeleine Stowe,Female,52,172,"[['18:26:07', '4']]","[10, 1, 10]"
113,Max Greenfield,Male,30,178,"[['05:39:37', '7']]","[10, 1, 10]"
114,Helen Hunt,Female,29,170,"[['17:50:02', '3']]","[10, 1, 10]"
115,Lana Parrilla,Female,33,164,"[['23:51:58', '3']]","[10, 1, 10]"
116,Gary Coleman,Male,10,142,"[['00:34:00', '5']]","[10, 1, 10]"
117,Liam Hemsworth,Male,23,191,"[['05:08:16', '5']]","[10, 1, 10]"
118,Stana Katic,Female,31,175,"[['14:27:38', '7']]","[10, 1, 10]"
119,Connie Britton,Female,45,173,"[['16:19:24', '6']]","[10, 1, 10]"
120,Emily Blunt,Female,28,171,"[['15:35:04', '1']]","[10, 1, 10]"
121,Clark Gregg,Male,51,175,"[['02:54:16', '4']]","[10, 1, 10]"
122,Alex O'Loughlin,Male,33,185,"[['12:52:14', '1']]","[10, 1, 10]"
123,Kate Walsh,Female,39,178,"[['07:48:08', '5']]","[10, 1, 10]"
124,Jessica Chastain,Female,37,163,"[['20:53:37', '4']]","[10, 1, 10]"
125,Michael Weatherly,Male,34,188,"[['09:00:02', '3']]","[10, 1, 10]"
126,Mark Ruffalo,Male,46,173,"[['19:00:45', '2']]","[10, 1, 10]"
127,Kevin McKidd,Male,31,183,"[['08:22:27', '7']]","[10, 1, 10]"
128,Piper Perabo,Female,33,166,"[['07:51:15', '3']]","[10, 1, 10]"
129,Christopher Gorham,Male,35,182,"[['20:14:51', '7']]","[10, 1, 10]"
130,Heidi Klum,Female,31,176,"[['19:02:51', '3']]","[10, 1, 10]"
131,Walton Goggins,Male,38,178,"[['17:18:34', '6']]","[10, 1, 10]"
132,Jennifer Garner,Female,29,173,"[['11:48:15', '1']]","[10, 1, 10]"
133,Emily VanCamp,Female,25,173,"[['12:13:27', '5']]","[10, 1, 10]"
134,Tatiana Maslany,Female,27,163,"[['23:16:28', '2']]","[10, 1, 10]"
135,Sofia Vergara,Female,36,170,"[['11:08:03', '1']]","[10, 1, 10]"
136,Zooey Deschanel,Female,31,168,"[['19:31:35', '1']]","[10, 1, 10]"
137,Paul Wesley,Male,26,180,"[['02:14:53', '4']]","[10, 1, 10]"
138,Jon Cryer,Male,38,175,"[['09:51:39', '3']]","[10, 1, 10]"
139,Lisa Kudrow,Female,30,173,"[['22:39:17', '6']]","[10, 1, 10]"
140,David Duchovny,Male,46,184,"[['03:48:51', '2']]","[10, 1, 10]"
141,January Jones,Female,29,168,"[['17:28:02', '2']]","[10, 1, 10]"
142,Julianna Margulies,Female,43,168,"[['04:16:47', '4']]","[10, 1, 10]"
143,Matthew Perry,Male,24,183,"[['12:38:06', '7']]","[10, 1, 10]"
144,Vera Farmiga,Female,39,165,"[['20:18:57', '6']]","[10, 1, 10]"
145,Edie Falco,Female,45,165,"[['15:01:17', '1']]","[10, 1, 10]"
146,Misha Collins,Male,30,183,"[['22:49:58', '5']]","[10, 1, 10]"
147,Megan Boone,Female,30,169,"[['02:35:01', '5']]","[10, 1, 10]"
148,Jared Padalecki,Male,22,193,"[['21:35:11', '5']]","[10, 1, 10]"
149,Jim Parsons,Male,34,186,"[['22:56:54', '4']]","[10, 1, 10]"
150,Colin O'Donoghue,Male,30,180,"[['01:45:22', '2']]","[10, 1, 10]"
151,Damon Wayans Jr.,Male,28,185,"[['05:55:17', '3']]","[10, 1, 10]"
152,Eric Stonestreet,Male,37,185,"[['10:54:05', '6']]","[10, 1, 10]"
153,Jake Gyllenhaal,Male,29,180,"[['18:44:28', '6']]","[10, 1, 10]"
154,Jeff Bridges,Male,60,185,"[['05:30:03', '4']]","[10, 1, 10]"
155,Ed O'Neill,Male,63,185,"[['23:31:12', '6']]","[10, 1, 10]"
156,Jennette McCurdy,Female,21,157,"[['23:25:37', '3']]","[10, 1, 10]"
157,Tom Hiddleston,Male,32,188,"[['18:56:07', '6']]","[10, 1, 10]"
158,Tom Welling,Male,24,190,"[['02:54:41', '7']]","[10, 1, 10]"
159,Jennifer Aniston,Female,25,164,"[['06:18:57', '6']]","[10, 1, 10]"
160,Chris Hemsworth,Male,29,190,"[['11:39:45', '2']]","[10, 1, 10]"
161,Shailene Woodley,Female,22,173,"[['05:26:21', '3']]","[10, 1, 10]"
162,Sara Ramirez,Female,29,175,"[['21:52:24', '4']]","[10, 1, 10]"
163,Elisabeth Moss,Female,24,160,"[['02:41:13', '4']]","[10, 1, 10]"
164,Julianne Moore,Female,53,160,"[['22:51:18', '1']]","[10, 1, 10]"
165,Ian Somerhalder,Male,30,177,"[['12:35:04', '1']]","[10, 1, 10]"
166,Tom Mison,Male,30,185,"[['19:26:41', '6']]","[10, 1, 10]"
167,Eva Longoria,Female,29,157,"[['13:16:11', '7']]","[10, 1, 10]"
168,Ming-Na Wen,Female,49,163,"[['02:02:52', '5']]","[10, 1, 10]"
169,Timothy Hutton,Male,47,183,"[['02:56:54', '3']]","[10, 1, 10]"
170,Kat Dennings,Female,25,161,"[['16:45:55', '6']]","[10, 1, 10]"
171,Karen Gillan,Female,17,180,"[['13:15:49', '1']]","[10, 1, 10]"
172,Gillian Jacobs,Female,26,163,"[['12:45:21', '6']]","[10, 1, 10]"
173,Pauley Perrette,Female,34,177,"[['05:23:11', '4']]","[10, 1, 10]"
174,Jennifer Carpenter,Female,26,174,"[['19:19:26', '6']]","[10, 1, 10]"
175,Michael C. Hall,Male,35,177,"[['15:11:33', '3']]","[10, 1, 10]"
176,Lucy Liu,Female,43,160,"[['20:25:39', '4']]","[10, 1, 10]"
177,Joelle Carter,Female,37,175,"[['05:59:07', '2']]","[10, 1, 10]"
178,Bruce Willis,Male,30,183,"[['13:47:17', '1']]","[10, 1, 10]"
179,Lucy Hale,Female,21,157,"[['10:10:20', '1']]","[10, 1, 10]"
180,Sasha Alexander,Female,37,170,"[['11:03:25', '4']]","[10, 1, 10]"
181,Josh Dallas,Male,32,185,"[['17:50:47', '7']]","[10, 1, 10]"
182,Courteney Cox,Female,30,165,"[['03:56:42', '1']]","[10, 1, 10]"
183,Christina Hendricks,Female,32,171,"[['22:27:10', '3']]","[10, 1, 10]"
184,Jennifer Morrison,Female,32,166,"[['21:01:24', '6']]","[10, 1, 10]"
185,James Franco,Male,35,180,"[['10:44:53', '3']]","[10, 1, 10]"
186,Penn Badgley,Male,20,175,"[['18:05:16', '7']]","[10, 1, 10]"
187,Amy Poehler,Female,37,157,"[['23:21:05', '6']]","[10, 1, 10]"
188,Emilia Clarke,Female,24,157,"[['14:05:16', '7']]","[10, 1, 10]"
189,Anna Paquin,Female,25,165,"[['19:50:18', '4']]","[10, 1, 10]"
190,Shay Mitchell,Female,23,171,"[['12:31:26', '3']]","[10, 1, 10]"
191,Jessica Pare,Female,26,175,"[['13:16:12', '7']]","[10, 1, 10]"
192,Lauren Cohan,Female,28,170,"[['01:55:19', '5']]","[10, 1, 10]"
193,Marcia Cross,Female,42,178,"[['06:17:41', '3']]","[10, 1, 10]"
194,Joyce DeWitt,Female,28,161,"[['04:40:31', '5']]","[10, 1, 10]"
195,Mary-Louise Parker,Female,40,173,"[['14:12:07', '1']]","[10, 1, 10]"
196,Emma Roberts,Female,20,157,"[['09:48:45', '1']]","[10, 1, 10]"
197,Stephen Moyer,Male,38,178,"[['00:23:02', '2']]","[10, 1, 10]"
198,Blake Lively,Female,19,178,"[['16:58:06', '1']]","[10, 1, 10]"
199,Joseph Gordon-Levitt,Male,31,176,"[['05:05:40', '2']]","[10, 1, 10]"
200,David Giuntoli,Male,31,180,"[['10:56:02', '6']]","[10, 1, 10]"
