N,id,image,height,time,R
236,93,93_1.jpg,"[173.2, 0.08]","['16:15:59', '4']",1
237,84,84_2.jpg,"[181.8, 0.08]","['18:10:58', '7']",0
238,34,34_4.jpg,"[170.3, 0.08]","['07:28:35', '1']",0
239,71,71_3.jpg,"[154.3, 0.08]","['19:24:01', '7']",0
240,92,92_2.jpg,"[174.4, 0.08]","['01:06:08', '1']",0
241,69,69_4.jpg,"[160.9, 0.08]","['19:18:33', '7']",0
242,76,76_4.jpg,"[178.1, 0.08]","['05:18:34', '7']",0
243,88,88_2.jpg,"[175.0, 0.08]","['07:08:57', '3']",0
244,39,39_4.jpg,"[180.1, 0.08]","['22:01:30', '5']",0
245,79,79_4.jpg,"[165.7, 0.08]","['23:44:18', '2']",0
246,73,73_4.jpg,"[166.8, 0.08]","['18:16:45', '5']",0
247,66,66_3.jpg,"[186.0, 0.08]","['02:36:55', '4']",0
248,94,94_1.jpg,"[177.1, 0.08]","['14:25:06', '5']",1
249,86,86_2.jpg,"[159.1, 0.08]","['05:10:37', '2']",0
250,57,57_3.jpg,"[170.3, 0.08]","['01:20:36', '1']",0
251,81,81_4.jpg,"[175.2, 0.08]","['09:52:11', '3']",0
252,27,27_3.jpg,"[171.7, 0.08]","['10:31:55', '5']",0
253,95,95_1.jpg,"[173.6, 0.08]","['02:31:14', '3']",1
254,57,57_4.jpg,"[170.4, 0.08]","['01:12:18', '1']",0
255,17,17_3.jpg,"[161.9, 0.08]","['23:18:45', '4']",0
256,13,13_5.jpg,"[186.3, 0.08]","['18:10:46', '7']",0
257,96,96_1.jpg,"[162.1, 0.08]","['15:39:29', '7']",1
258,38,38_3.jpg,"[179.3, 0.08]","['19:05:32', '2']",0
259,97,97_1.jpg,"[187.7, 0.08]","['03:16:20', '3']",1
260,15,15_5.jpg,"[156.0, 0.08]","['03:48:21', '4']",0
261,13,13_6.jpg,"[180.7, 0.08]","['06:04:58', '5']",0
262,48,48_2.jpg,"[171.5, 0.08]","['06:26:25', '7']",0
263,77,77_3.jpg,"[178.2, 0.08]","['06:41:39', '1']",0
264,88,88_3.jpg,"[188.2, 0.08]","['04:33:26', '6']",0
265,46,46_2.jpg,"[175.9, 0.08]","['00:31:18', '5']",0
266,95,95_2.jpg,"[175.0, 0.08]","['03:32:46', '2']",0
267,65,65_5.jpg,"[188.6, 0.08]","['13:39:32', '4']",0
268,14,14_4.jpg,"[157.8, 0.08]","['18:06:48', '5']",0
269,25,25_5.jpg,"[177.0, 0.08]","['14:31:13', '1']",0
270,74,74_2.jpg,"[157.6, 0.08]","['21:58:05', '6']",0
271,49,49_3.jpg,"[175.8, 0.08]","['01:41:01', '6']",0
272,48,48_3.jpg,"[183.3, 0.08]","['07:03:13', '3']",0
273,82,82_3.jpg,"[170.0, 0.08]","['22:35:39', '6']",0
274,21,21_2.jpg,"[153.5, 0.08]","['17:19:30', '3']",0
275,21,21_3.jpg,"[172.9, 0.08]","['16:50:54', '3']",0
276,80,80_3.jpg,"[175.6, 0.08]","['21:00:21', '4']",0
277,31,31_5.jpg,"[187.0, 0.08]","['04:33:55', '6']",0
278,41,41_7.jpg,"[183.3, 0.08]","['04:19:46', '6']",0
279,72,72_2.jpg,"[170.5, 0.08]","['02:50:18', '7']",0
280,4,4_4.jpg,"[175.1, 0.08]","['02:03:39', '1']",0
281,95,95_3.jpg,"[167.1, 0.08]","['03:44:57', '2']",0
282,16,16_5.jpg,"[177.0, 0.08]","['12:12:03', '2']",0
283,37,37_4.jpg,"[154.3, 0.08]","['18:58:49', '4']",0
284,34,34_5.jpg,"[164.9, 0.08]","['00:33:35', '4']",0
285,6,6_5.jpg,"[181.1, 0.08]","['05:30:12', '4']",0
286,98,98_1.jpg,"[173.2, 0.08]","['04:47:13', '1']",1
287,86,86_3.jpg,"[170.8, 0.08]","['23:33:58', '2']",0
288,72,72_3.jpg,"[174.2, 0.08]","['05:31:41', '5']",0
289,91,91_2.jpg,"[182.0, 0.08]","['12:33:09', '7']",0
290,7,7_2.jpg,"[191.0, 0.08]","['07:54:52', '6']",0
291,31,31_6.jpg,"[181.3, 0.08]","['04:09:30', '6']",0
292,82,82_4.jpg,"[155.9, 0.08]","['03:40:27', '3']",0
293,84,84_3.jpg,"[181.6, 0.08]","['23:43:48', '7']",0
294,76,76_5.jpg,"[188.8, 0.08]","['06:05:12', '3']",0
295,10,10_3.jpg,"[166.3, 0.08]","['13:34:33', '5']",0
296,29,29_4.jpg,"[175.3, 0.08]","['12:32:03', '2']",0
297,80,80_4.jpg,"[174.8, 0.08]","['01:41:12', '7']",0
298,59,59_4.jpg,"[185.8, 0.08]","['15:50:45', '2']",0
299,35,35_5.jpg,"[173.3, 0.08]","['04:31:29', '4']",0
300,20,20_4.jpg,"[174.5, 0.08]","['20:54:19', '7']",0
301,89,89_3.jpg,"[161.3, 0.08]","['14:10:08', '6']",0
302,97,97_2.jpg,"[195.7, 0.08]","['17:47:32', '1']",0
303,74,74_3.jpg,"[164.0, 0.08]","['23:03:52', '6']",0
304,99,99_1.jpg,"[183.4, 0.08]","['05:50:59', '7']",1
305,68,68_2.jpg,"[182.3, 0.08]","['09:14:55', '6']",0
306,94,94_2.jpg,"[181.6, 0.08]","['06:32:24', '2']",0
307,54,54_2.jpg,"[176.9, 0.08]","['22:34:13', '6']",0
308,19,19_4.jpg,"[164.8, 0.08]","['09:46:50', '2']",0
309,95,95_4.jpg,"[170.5, 0.08]","['09:37:44', '6']",0
310,56,56_2.jpg,"[172.0, 0.08]","['10:52:35', '6']",0
311,94,94_3.jpg,"[194.8, 0.08]","['10:28:04', '5']",0
312,3,3_3.jpg,"[157.5, 0.08]","['17:14:06', '1']",0
313,98,98_2.jpg,"[173.1, 0.08]","['02:21:34', '3']",0
314,59,59_5.jpg,"[186.7, 0.08]","['16:49:11', '2']",0
315,5,5_4.jpg,"[172.1, 0.08]","['19:35:08', '3']",0
316,87,87_3.jpg,"[174.3, 0.08]","['16:42:06', '3']",0
317,30,30_5.jpg,"[152.3, 0.08]","['05:42:44', '5']",0
318,28,28_4.jpg,"[167.1, 0.08]","['21:10:55', '3']",0
319,52,52_5.jpg,"[183.1, 0.08]","['03:20:50', '7']",0
320,27,27_4.jpg,"[170.0, 0.08]","['20:24:03', '4']",0
321,97,97_3.jpg,"[182.1, 0.08]","['04:23:47', '2']",0
322,93,93_2.jpg,"[174.4, 0.08]","['16:16:39', '4']",0
323,38,38_4.jpg,"[187.9, 0.08]","['19:02:44', '2']",0
324,1,1_4.jpg,"[162.1, 0.08]","['08:23:06', '4']",0
325,18,18_4.jpg,"[186.7, 0.08]","['06:05:16', '5']",0
326,46,46_3.jpg,"[187.2, 0.08]","['00:37:39', '5']",0
327,46,46_4.jpg,"[178.6, 0.08]","['13:59:27', '5']",0
328,81,81_5.jpg,"[180.6, 0.08]","['22:49:28', '3']",0
329,84,84_4.jpg,"[185.2, 0.08]","['20:33:07', '3']",0
330,56,56_3.jpg,"[169.7, 0.08]","['10:52:38', '6']",0
331,11,11_4.jpg,"[170.4, 0.08]","['23:56:31', '6']",0
332,64,64_4.jpg,"[159.1, 0.08]","['10:46:07', '3']",0
333,63,63_3.jpg,"[173.7, 0.08]","['07:55:59', '6']",0
334,76,76_6.jpg,"[186.5, 0.08]","['23:07:23', '7']",0
335,100,100_1.jpg,"[186.3, 0.08]","['03:23:13', '2']",1
336,38,38_5.jpg,"[172.6, 0.08]","['19:08:01', '2']",0
337,71,71_4.jpg,"[153.7, 0.08]","['12:36:20', '6']",0
338,36,36_4.jpg,"[183.7, 0.08]","['20:22:11', '5']",0
339,94,94_4.jpg,"[181.3, 0.08]","['14:20:54', '5']",0
340,56,56_4.jpg,"[159.1, 0.08]","['10:06:26', '6']",0
341,82,82_5.jpg,"[171.6, 0.08]","['03:37:02', '3']",0
342,62,62_2.jpg,"[161.4, 0.08]","['08:41:27', '3']",0
343,75,75_2.jpg,"[196.1, 0.08]","['17:57:56', '3']",0
344,28,28_5.jpg,"[172.4, 0.08]","['15:40:23', '1']",0
345,92,92_3.jpg,"[182.9, 0.08]","['05:36:25', '6']",0
346,85,85_4.jpg,"[164.7, 0.08]","['11:50:16', '4']",0
347,68,68_3.jpg,"[183.4, 0.08]","['08:04:38', '6']",0
348,59,59_6.jpg,"[187.7, 0.08]","['00:33:58', '7']",0
349,37,37_5.jpg,"[157.5, 0.08]","['13:53:25', '3']",0
350,56,56_5.jpg,"[170.6, 0.08]","['10:06:34', '6']",0
351,11,11_5.jpg,"[172.9, 0.08]","['00:40:17', '7']",0
352,98,98_3.jpg,"[182.9, 0.08]","['06:06:24', '1']",0
353,33,33_2.jpg,"[165.4, 0.08]","['09:42:15', '2']",0
354,49,49_4.jpg,"[182.3, 0.08]","['19:54:28', '7']",0
355,66,66_4.jpg,"[186.4, 0.08]","['22:22:59', '2']",0
356,53,53_4.jpg,"[193.6, 0.08]","['08:53:13', '4']",0
357,36,36_5.jpg,"[185.7, 0.08]","['18:54:30', '5']",0
358,88,88_4.jpg,"[179.2, 0.08]","['22:51:02', '3']",0
359,81,81_6.jpg,"[166.0, 0.08]","['22:36:14', '3']",0
360,97,97_4.jpg,"[180.9, 0.08]","['05:05:00', '2']",0
361,93,93_3.jpg,"[177.2, 0.08]","['14:59:00', '4']",0
362,89,89_4.jpg,"[166.2, 0.08]","['13:35:08', '6']",0
363,47,47_3.jpg,"[180.1, 0.08]","['21:05:39', '1']",0
364,95,95_5.jpg,"[171.5, 0.08]","['02:22:08', '3']",0
365,97,97_5.jpg,"[187.5, 0.08]","['05:38:37', '2']",0
366,55,55_5.jpg,"[183.5, 0.08]","['03:22:12', '4']",0
367,36,36_6.jpg,"[186.6, 0.08]","['18:04:52', '5']",0
368,78,78_2.jpg,"[168.1, 0.08]","['19:34:56', '1']",0
369,36,36_7.jpg,"[201.5, 0.08]","['20:22:14', '5']",0
370,42,42_4.jpg,"[196.6, 0.08]","['23:36:54', '2']",0
371,70,70_2.jpg,"[164.0, 0.08]","['09:40:01', '2']",0
372,64,64_5.jpg,"[159.8, 0.08]","['18:03:19', '5']",0
373,34,34_6.jpg,"[168.1, 0.08]","['07:22:44', '1']",0
374,11,11_6.jpg,"[169.6, 0.08]","['00:40:48', '7']",0
375,86,86_4.jpg,"[168.2, 0.08]","['05:19:02', '2']",0
376,66,66_5.jpg,"[190.2, 0.08]","['02:23:51', '4']",0
377,56,56_6.jpg,"[178.6, 0.08]","['05:35:42', '2']",0
