id,name,gender,age,height,times,occurrence
47,Ryan Gosling,Male,30,184,"[['07:32:44', '6']]","[10, 1, 10]"
48,Ty Burrell,Male,41,183,"[['17:54:43', '2']]","[10, 1, 10]"
49,Chris Colfer,Male,19,179,"[['05:15:03', '6']]","[10, 1, 10]"
50,Stephen Amell,Male,31,185,"[['19:38:49', '5']]","[10, 1, 10]"
51,Emily Deschanel,Female,28,175,"[['21:00:11', '2']]","[10, 1, 10]"
52,Miles Teller,Male,27,183,"[['04:25:36', '7']]","[10, 1, 10]"
53,Norman Reedus,Male,41,178,"[['09:45:30', '1']]","[10, 1, 10]"
54,Timothy Olyphant,Male,42,183,"[['22:57:09', '6']]","[10, 1, 10]"
55,Robert Pattinson,Male,26,185,"[['02:55:31', '4']]","[10, 1, 10]"
56,Zoe Saldana,Female,36,170,"[['10:10:28', '6']]","[10, 1, 10]"
57,Mindy Kaling,Female,33,163,"[['02:04:30', '1']]","[10, 1, 10]"
58,Leonardo DiCaprio,Male,38,183,"[['22:41:57', '4']]","[10, 1, 10]"
59,Noah Wyle,Male,40,185,"[['18:45:52', '4']]","[10, 1, 10]"
60,Charlize Theron,Female,29,177,"[['02:34:51', '2']]","[10, 1, 10]"
61,Jane Lynch,Female,48,183,"[['03:24:34', '7']]","[10, 1, 10]"
62,Melissa Joan Hart,Female,34,157,"[['08:35:32', '3']]","[10, 1, 10]"
63,Jake Johnson,Male,33,178,"[['19:09:10', '1']]","[10, 1, 10]"
64,Alison Brie,Female,26,160,"[['17:57:20', '5']]","[10, 1, 10]"
65,Joel Kinnaman,Male,31,189,"[['02:47:04', '6']]","[10, 1, 10]"
66,Will Smith,Male,21,188,"[['20:38:37', '2']]","[10, 1, 10]"
67,Jennifer Lawrence,Female,23,175,"[['11:30:36', '6']]","[10, 1, 10]"
68,Jensen Ackles,Male,27,186,"[['08:27:06', '6']]","[10, 1, 10]"
69,Mireille Enos,Female,35,157,"[['21:36:06', '5']]","[10, 1, 10]"
70,Chloe Grace Moretz,Female,17,163,"[['04:17:12', '5']]","[10, 1, 10]"
71,America Ferrera,Female,22,155,"[['11:13:20', '6']]","[10, 1, 10]"
72,Ed Westwick,Male,20,175,"[['00:44:21', '2']]","[10, 1, 10]"
73,Angelina Jolie,Female,35,169,"[['14:34:08', '7']]","[10, 1, 10]"
74,Cate Blanchett,Female,46,174,"[['10:06:49', '6']]","[10, 1, 10]"
75,Damian Lewis,Male,40,185,"[['05:41:09', '7']]","[10, 1, 10]"
76,Josh Radnor,Male,30,182,"[['05:30:00', '3']]","[10, 1, 10]"
77,John Noble,Male,59,185,"[['06:41:57', '1']]","[10, 1, 10]"
78,Kerry Washington,Female,35,163,"[['19:34:38', '1']]","[10, 1, 10]"
79,Sandra Oh,Female,33,168,"[['16:14:43', '1']]","[10, 1, 10]"
80,Taylor Schilling,Female,28,173,"[['22:09:10', '4']]","[10, 1, 10]"
81,Justin Chambers,Male,34,180,"[['18:20:16', '7']]","[10, 1, 10]"
82,Kristen Stewart,Female,22,165,"[['23:08:50', '6']]","[10, 1, 10]"
83,Michael Emerson,Male,56,173,"[['00:38:01', '6']]","[10, 1, 10]"
84,Mark Harmon,Male,51,183,"[['19:23:00', '7']]","[10, 1, 10]"
85,Aaron Paul,Male,28,173,"[['12:02:56', '5']]","[10, 1, 10]"
86,Teri Hatcher,Female,39,168,"[['06:00:11', '2']]","[10, 1, 10]"
87,Ellen Pompeo,Female,35,170,"[['21:19:14', '6']]","[10, 1, 10]"
88,Paul Reiser,Male,35,178,"[['21:12:03', '3']]","[10, 1, 10]"
89,Felicity Huffman,Female,41,165,"[['13:35:35', '6']]","[10, 1, 10]"
90,Laura Linney,Female,46,170,"[['14:58:43', '5']]","[10, 1, 10]"
91,Kodi Smit-McPhee,Male,16,188,"[['06:52:55', '3']]","[10, 1, 10]"
92,Matthew McConaughey,Male,44,183,"[['01:43:02', '1']]","[10, 1, 10]"
93,John Slattery,Male,44,178,"[['16:15:59', '4']]","[10, 1, 10]"
94,David Boreanaz,Male,36,185,"[['14:25:06', '5']]","[10, 1, 10]"
95,Sarah Wayne Callies,Female,33,174,"[['02:31:14', '3']]","[10, 1, 10]"
96,Kaley Cuoco,Female,21,168,"[['15:39:29', '7']]","[10, 1, 10]"
97,Kevin Costner,Male,59,185,"[['03:16:20', '3']]","[10, 1, 10]"
98,Mark Wahlberg,Male,39,173,"[['04:47:13', '1']]","[10, 1, 10]"
99,Jim Caviezel,Male,42,188,"[['05:50:59', '7']]","[10, 1, 10]"
100,Channing Tatum,Male,32,185,"[['03:23:13', '2']]","[10, 1, 10]"
101,Cybill Shepherd,Female,35,173,"[['05:49:28', '4']]","[10, 1, 10]"
102,John Ritter,Male,28,180,"[['02:48:46', '5']]","[10, 1, 10]"
103,Bryan Cranston,Male,52,179,"[['06:21:08', '1']]","[10, 1, 10]"
104,Simon Helberg,Male,26,170,"[['01:42:38', '3']]","[10, 1, 10]"
105,Vincent Kartheiser,Male,28,180,"[['21:12:53', '3']]","[10, 1, 10]"
106,Cobie Smulders,Female,23,173,"[['10:47:25', '1']]","[10, 1, 10]"
107,Kunal Nayyar,Male,26,171,"[['18:34:58', '5']]","[10, 1, 10]"
108,Zachary Levi,Male,26,191,"[['21:45:58', '5']]","[10, 1, 10]"
109,Nina Dobrev,Female,20,169,"[['05:50:24', '3']]","[10, 1, 10]"
110,Neil Patrick Harris,Male,32,183,"[['03:49:45', '4']]","[10, 1, 10]"
111,Yvette Nicole Brown,Female,37,155,"[['15:12:09', '2']]","[10, 1, 10]"
112,Madeleine Stowe,Female,52,172,"[['01:59:02', '7']]","[10, 1, 10]"
113,Max Greenfield,Male,30,178,"[['06:46:02', '1']]","[10, 1, 10]"
114,Helen Hunt,Female,29,170,"[['11:22:42', '6']]","[10, 1, 10]"
115,Lana Parrilla,Female,33,164,"[['13:24:35', '7']]","[10, 1, 10]"
116,Gary Coleman,Male,10,142,"[['19:55:18', '5']]","[10, 1, 10]"
117,Liam Hemsworth,Male,23,191,"[['02:11:44', '5']]","[10, 1, 10]"
118,Stana Katic,Female,31,175,"[['13:24:55', '6']]","[10, 1, 10]"
119,Connie Britton,Female,45,173,"[['09:16:07', '1']]","[10, 1, 10]"
120,Emily Blunt,Female,28,171,"[['02:31:43', '7']]","[10, 1, 10]"
121,Clark Gregg,Male,51,175,"[['15:17:48', '2']]","[10, 1, 10]"
122,Alex O'Loughlin,Male,33,185,"[['00:55:58', '4']]","[10, 1, 10]"
123,Kate Walsh,Female,39,178,"[['22:45:31', '6']]","[10, 1, 10]"
124,Jessica Chastain,Female,37,163,"[['13:45:10', '5']]","[10, 1, 10]"
125,Michael Weatherly,Male,34,188,"[['19:58:18', '6']]","[10, 1, 10]"
126,Mark Ruffalo,Male,46,173,"[['09:19:58', '7']]","[10, 1, 10]"
127,Kevin McKidd,Male,31,183,"[['11:56:47', '5']]","[10, 1, 10]"
128,Piper Perabo,Female,33,166,"[['11:59:08', '4']]","[10, 1, 10]"
129,Christopher Gorham,Male,35,182,"[['16:49:05', '4']]","[10, 1, 10]"
130,Heidi Klum,Female,31,176,"[['09:36:02', '3']]","[10, 1, 10]"
131,Walton Goggins,Male,38,178,"[['14:21:38', '3']]","[10, 1, 10]"
132,Jennifer Garner,Female,29,173,"[['20:26:54', '1']]","[10, 1, 10]"
133,Emily VanCamp,Female,25,173,"[['10:05:50', '3']]","[10, 1, 10]"
134,Tatiana Maslany,Female,27,163,"[['11:48:08', '3']]","[10, 1, 10]"
135,Sofia Vergara,Female,36,170,"[['07:28:22', '3']]","[10, 1, 10]"
136,Zooey Deschanel,Female,31,168,"[['08:07:16', '5']]","[10, 1, 10]"
137,Paul Wesley,Male,26,180,"[['21:07:36', '3']]","[10, 1, 10]"
138,Jon Cryer,Male,38,175,"[['03:16:27', '5']]","[10, 1, 10]"
139,Lisa Kudrow,Female,30,173,"[['12:32:41', '3']]","[10, 1, 10]"
140,David Duchovny,Male,46,184,"[['09:57:14', '7']]","[10, 1, 10]"
141,January Jones,Female,29,168,"[['04:57:51', '4']]","[10, 1, 10]"
142,Julianna Margulies,Female,43,168,"[['03:20:10', '5']]","[10, 1, 10]"
143,Matthew Perry,Male,24,183,"[['15:50:24', '7']]","[10, 1, 10]"
144,Vera Farmiga,Female,39,165,"[['17:44:31', '2']]","[10, 1, 10]"
145,Edie Falco,Female,45,165,"[['19:39:49', '4']]","[10, 1, 10]"
146,Misha Collins,Male,30,183,"[['05:14:59', '5']]","[10, 1, 10]"
147,Megan Boone,Female,30,169,"[['12:57:21', '2']]","[10, 1, 10]"
148,Jared Padalecki,Male,22,193,"[['19:06:37', '7']]","[10, 1, 10]"
149,Jim Parsons,Male,34,186,"[['07:35:57', '7']]","[10, 1, 10]"
150,Colin O'Donoghue,Male,30,180,"[['01:26:17', '1']]","[10, 1, 10]"
151,Damon Wayans Jr.,Male,28,185,"[['13:25:40', '4']]","[10, 1, 10]"
152,Eric Stonestreet,Male,37,185,"[['19:31:05', '4']]","[10, 1, 10]"
153,Jake Gyllenhaal,Male,29,180,"[['12:48:38', '1']]","[10, 1, 10]"
154,Jeff Bridges,Male,60,185,"[['23:40:46', '7']]","[10, 1, 10]"
155,Ed O'Neill,Male,63,185,"[['20:04:58', '5']]","[10, 1, 10]"
156,Jennette McCurdy,Female,21,157,"[['01:22:05', '2']]","[10, 1, 10]"
157,Tom Hiddleston,Male,32,188,"[['14:54:51', '1']]","[10, 1, 10]"
158,Tom Welling,Male,24,190,"[['09:28:50', '5']]","[10, 1, 10]"
159,Jennifer Aniston,Female,25,164,"[['06:24:46', '2']]","[10, 1, 10]"
160,Chris Hemsworth,Male,29,190,"[['13:47:07', '2']]","[10, 1, 10]"
161,Shailene Woodley,Female,22,173,"[['23:33:52', '3']]","[10, 1, 10]"
162,Sara Ramirez,Female,29,175,"[['15:01:21', '4']]","[10, 1, 10]"
163,Elisabeth Moss,Female,24,160,"[['23:33:24', '5']]","[10, 1, 10]"
164,Julianne Moore,Female,53,160,"[['10:32:30', '5']]","[10, 1, 10]"
165,Ian Somerhalder,Male,30,177,"[['09:04:32', '6']]","[10, 1, 10]"
166,Tom Mison,Male,30,185,"[['22:49:00', '2']]","[10, 1, 10]"
167,Eva Longoria,Female,29,157,"[['23:30:01', '3']]","[10, 1, 10]"
168,Ming-Na Wen,Female,49,163,"[['06:37:56', '6']]","[10, 1, 10]"
169,Timothy Hutton,Male,47,183,"[['12:28:37', '2']]","[10, 1, 10]"
170,Kat Dennings,Female,25,161,"[['12:15:23', '6']]","[10, 1, 10]"
171,Karen Gillan,Female,17,180,"[['03:16:45', '6']]","[10, 1, 10]"
172,Gillian Jacobs,Female,26,163,"[['16:27:43', '1']]","[10, 1, 10]"
173,Pauley Perrette,Female,34,177,"[['23:47:45', '1']]","[10, 1, 10]"
174,Jennifer Carpenter,Female,26,174,"[['08:05:05', '1']]","[10, 1, 10]"
175,Michael C. Hall,Male,35,177,"[['13:16:09', '1']]","[10, 1, 10]"
176,Lucy Liu,Female,43,160,"[['01:07:14', '6']]","[10, 1, 10]"
177,Joelle Carter,Female,37,175,"[['06:22:15', '5']]","[10, 1, 10]"
178,Bruce Willis,Male,30,183,"[['22:27:01', '1']]","[10, 1, 10]"
179,Lucy Hale,Female,21,157,"[['16:11:34', '6']]","[10, 1, 10]"
180,Sasha Alexander,Female,37,170,"[['11:17:31', '2']]","[10, 1, 10]"
181,Josh Dallas,Male,32,185,"[['01:49:47', '7']]","[10, 1, 10]"
182,Courteney Cox,Female,30,165,"[['07:27:29', '2']]","[10, 1, 10]"
183,Christina Hendricks,Female,32,171,"[['05:43:22', '6']]","[10, 1, 10]"
184,Jennifer Morrison,Female,32,166,"[['12:39:45', '2']]","[10, 1, 10]"
185,James Franco,Male,35,180,"[['01:01:50', '5']]","[10, 1, 10]"
186,Penn Badgley,Male,20,175,"[['07:27:56', '5']]","[10, 1, 10]"
187,Amy Poehler,Female,37,157,"[['15:40:28', '2']]","[10, 1, 10]"
188,Emilia Clarke,Female,24,157,"[['06:12:03', '2']]","[10, 1, 10]"
189,Anna Paquin,Female,25,165,"[['21:04:51', '6']]","[10, 1, 10]"
190,Shay Mitchell,Female,23,171,"[['12:21:39', '7']]","[10, 1, 10]"
191,Jessica Pare,Female,26,175,"[['22:12:05', '2']]","[10, 1, 10]"
192,Lauren Cohan,Female,28,170,"[['22:45:13', '7']]","[10, 1, 10]"
193,Marcia Cross,Female,42,178,"[['01:43:58', '4']]","[10, 1, 10]"
194,Joyce DeWitt,Female,28,161,"[['15:54:01', '5']]","[10, 1, 10]"
195,Mary-Louise Parker,Female,40,173,"[['17:07:01', '5']]","[10, 1, 10]"
196,Emma Roberts,Female,20,157,"[['00:49:49', '7']]","[10, 1, 10]"
197,Stephen Moyer,Male,38,178,"[['01:48:55', '4']]","[10, 1, 10]"
198,Blake Lively,Female,19,178,"[['21:49:30', '7']]","[10, 1, 10]"
199,Joseph Gordon-Levitt,Male,31,176,"[['00:47:53', '4']]","[10, 1, 10]"
200,David Giuntoli,Male,31,180,"[['22:40:37', '4']]","[10, 1, 10]"
